TractorOrderId,Origin,Destination
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000067,QC005,WS001.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000074,QC005,YARD001.24
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000071,QC005,WS002.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000071,QC005,WS002.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000074,QC005,YARD001.24
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000067,QC005,WS001.01
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000074,QC005,YARD001.24
TO_CO_TFTU000003,QC006,WS015.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000025,QC006,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000025,QC006,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000015,QC005,WS016.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000097,QC003,YARD001.62
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
