TractorOrderId,Origin,Destination
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000005,QC003,YARD001.59
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000025,QC006,WS012.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000064,QC003,YARD001.45
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000067,QC005,WS001.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000067,QC005,WS001.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000064,QC003,YARD001.45
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000073,QC005,WS010.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000086,QC003,WS002.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000097,QC003,YARD001.62
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000099,QC005,YARD001.05
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000107,QC006,WS002.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000097,QC003,YARD001.62
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000098,QC003,WS004.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000098,QC003,WS004.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000099,QC005,YARD001.05
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000053,QC006,WS003.01
