TractorOrderId,Origin,Destination
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000025,QC006,WS012.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000025,QC006,WS012.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000071,QC005,WS002.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000071,QC005,WS002.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000075,QC006,YARD001.19
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000073,QC005,WS010.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000073,QC005,WS010.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000073,QC005,WS010.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000057,QC005,WS012.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000075,QC006,YARD001.19
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000067,QC005,WS001.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000074,QC005,YARD001.24
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000015,QC005,WS016.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000075,QC006,YARD001.19
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000023,QC003,WS015.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000104,QC005,YARD001.27
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000097,QC003,YARD001.62
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000107,QC006,WS002.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000107,QC006,WS002.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000097,QC003,YARD001.62
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000104,QC005,YARD001.27
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000104,QC005,YARD001.27
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000114,QC006,YARD001.20
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000102,QC006,WS008.01
