TractorOrderId,Origin,Destination
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000034,QC003,WS002.01
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000024,QC005,WS007.01
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000046,QC003,YARD001.36
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000001,QC001,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000025,QC006,WS012.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000064,QC003,YARD001.45
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000074,QC005,YARD001.24
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000081,QC001,WS004.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000116,QC005,WS002.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000117,QC005,WS003.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000117,QC005,WS003.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000121,QC003,WS001.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000117,QC005,WS003.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000124,QC005,WS008.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000125,QC005,WS001.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000114,QC006,YARD001.20
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000114,QC006,YARD001.20
TO_CO_TFTU000062,QC001,WS002.01
