TractorOrderId,Origin,Destination
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000063,QC003,YARD001.10
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000067,QC005,WS001.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000056,QC004,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000033,RAIL001.81,WS003.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000067,QC005,WS001.01
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000013,QC006,WS012.01
TO_CO_TFTU000071,QC005,WS002.01
TO_CO_TFTU000068,QC005,YARD001.05
TO_CO_TFTU000071,QC005,WS002.01
