TractorOrderId,Origin,Destination
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000046,QC003,YARD001.36
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000046,QC003,YARD001.36
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000024,QC005,WS007.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000046,QC003,YARD001.36
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000008,QC003,WS007.01
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000070,QC007,YARD001.36
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000099,QC005,YARD001.05
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000107,QC006,WS002.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000104,QC005,YARD001.27
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000107,QC006,WS002.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000111,QC004,YARD001.31
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000111,QC004,YARD001.31
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000089,QC005,YARD001.44
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000097,QC003,YARD001.62
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000104,QC005,YARD001.27
