SC001,SC002,SC003,SC004,SC005,SC006,SC007,SC008,SC009,SC010,SC011,SC012,SC013,SC014,SC015,SC016,SC017,SC018,SC019,SC020
TO_CO_TFTU000094,TO_CO_TFTU000102,TO_CO_TFTU000025,TO_CO_TFTU000117,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000111,TO_CO_TFTU000043,TO_CO_TFTU000117,TO_CO_TFTU000102,TO_CO_TFTU000113,TO_CO_TFTU000098,TO_CO_TFTU000067,TO_CO_TFTU000096,TO_CO_TFTU000065,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000116
TO_CO_TFTU000068,TO_CO_TFTU000085,TO_CO_TFTU000064,TO_CO_TFTU000062,TO_CO_TFTU000129,TO_CO_TFTU000082,TO_CO_TFTU000114,TO_CO_TFTU000106,TO_CO_TFTU000036,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000086,TO_CO_TFTU000070,TO_CO_TFTU000104,TO_CO_TFTU000107,TO_CO_TFTU000098,TO_CO_TFTU000113,TO_CO_TFTU000121,TO_CO_TFTU000105,TO_CO_TFTU000031
TO_CO_TFTU000094,TO_CO_TFTU000114,TO_CO_TFTU000107,TO_CO_TFTU000124,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000120,TO_CO_TFTU000116,TO_CO_TFTU000087,TO_CO_TFTU000087,TO_CO_TFTU000111,TO_CO_TFTU000067,TO_CO_TFTU000096,TO_CO_TFTU000065,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000115
TO_CO_TFTU000068,TO_CO_TFTU000085,TO_CO_TFTU000064,TO_CO_TFTU000062,TO_CO_TFTU000057,TO_CO_TFTU000097,TO_CO_TFTU000043,TO_CO_TFTU000105,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000086,TO_CO_TFTU000070,TO_CO_TFTU000104,TO_CO_TFTU000087,TO_CO_TFTU000097,TO_CO_TFTU000113,TO_CO_TFTU000121,TO_CO_TFTU000116,TO_CO_TFTU000031
TO_CO_TFTU000080,TO_CO_TFTU000105,TO_CO_TFTU000107,TO_CO_TFTU000125,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000117,TO_CO_TFTU000114,TO_CO_TFTU000111,TO_CO_TFTU000098,TO_CO_TFTU000067,TO_CO_TFTU000096,TO_CO_TFTU000065,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000116
TO_CO_TFTU000068,TO_CO_TFTU000085,TO_CO_TFTU000064,TO_CO_TFTU000062,TO_CO_TFTU000125,TO_CO_TFTU000081,TO_CO_TFTU000043,TO_CO_TFTU000040,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000086,TO_CO_TFTU000098,TO_CO_TFTU000104,TO_CO_TFTU000111,TO_CO_TFTU000097,TO_CO_TFTU000106,TO_CO_TFTU000098,TO_CO_TFTU000116,TO_CO_TFTU000031
TO_CO_TFTU000080,TO_CO_TFTU000113,TO_CO_TFTU000107,TO_CO_TFTU000087,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000043,TO_CO_TFTU000117,TO_CO_TFTU000114,TO_CO_TFTU000111,TO_CO_TFTU000098,TO_CO_TFTU000067,TO_CO_TFTU000096,TO_CO_TFTU000065,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000116
TO_CO_TFTU000068,TO_CO_TFTU000085,TO_CO_TFTU000125,TO_CO_TFTU000062,TO_CO_TFTU000117,TO_CO_TFTU000081,TO_CO_TFTU000102,TO_CO_TFTU000040,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000086,TO_CO_TFTU000098,TO_CO_TFTU000104,TO_CO_TFTU000111,TO_CO_TFTU000097,TO_CO_TFTU000106,TO_CO_TFTU000030,TO_CO_TFTU000117,TO_CO_TFTU000031
TO_CO_TFTU000080,TO_CO_TFTU000040,TO_CO_TFTU000107,TO_CO_TFTU000114,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000120,TO_CO_TFTU000123,TO_CO_TFTU000087,TO_CO_TFTU000111,TO_CO_TFTU000098,TO_CO_TFTU000067,TO_CO_TFTU000096,TO_CO_TFTU000065,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000117
TO_CO_TFTU000124,TO_CO_TFTU000085,TO_CO_TFTU000124,TO_CO_TFTU000062,TO_CO_TFTU000106,TO_CO_TFTU000081,TO_CO_TFTU000043,TO_CO_TFTU000102,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000086,TO_CO_TFTU000121,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000081,TO_CO_TFTU000116,TO_CO_TFTU000031
TO_CO_TFTU000080,TO_CO_TFTU000087,TO_CO_TFTU000107,TO_CO_TFTU000040,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000119,TO_CO_TFTU000126,TO_CO_TFTU000087,TO_CO_TFTU000111,TO_CO_TFTU000121,TO_CO_TFTU000102,TO_CO_TFTU000096,TO_CO_TFTU000106,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000124
TO_CO_TFTU000127,TO_CO_TFTU000085,TO_CO_TFTU000123,TO_CO_TFTU000062,TO_CO_TFTU000117,TO_CO_TFTU000081,TO_CO_TFTU000043,TO_CO_TFTU000120,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000086,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000117,TO_CO_TFTU000031
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000114,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000114,TO_CO_TFTU000123,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000121,TO_CO_TFTU000102,TO_CO_TFTU000096,TO_CO_TFTU000126,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000125
TO_CO_TFTU000127,TO_CO_TFTU000124,TO_CO_TFTU000119,TO_CO_TFTU000062,TO_CO_TFTU000106,TO_CO_TFTU000081,TO_CO_TFTU000043,TO_CO_TFTU000116,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000086,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000057,TO_CO_TFTU000106
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000087,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000119,TO_CO_TFTU000126,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000121,TO_CO_TFTU000043,TO_CO_TFTU000096,TO_CO_TFTU000129,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000125
TO_CO_TFTU000127,TO_CO_TFTU000124,TO_CO_TFTU000123,TO_CO_TFTU000062,TO_CO_TFTU000117,TO_CO_TFTU000094,TO_CO_TFTU000102,TO_CO_TFTU000040,TO_CO_TFTU000115,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000133,TO_CO_TFTU000123,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000097,TO_CO_TFTU000124,TO_CO_TFTU000123
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000127,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000122,TO_CO_TFTU000043,TO_CO_TFTU000096,TO_CO_TFTU000130,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000125
TO_CO_TFTU000126,TO_CO_TFTU000127,TO_CO_TFTU000126,TO_CO_TFTU000062,TO_CO_TFTU000123,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000116,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000133,TO_CO_TFTU000098,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000121,TO_CO_TFTU000105,TO_CO_TFTU000030,TO_CO_TFTU000106,TO_CO_TFTU000106
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000119,TO_CO_TFTU000043,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000097,TO_CO_TFTU000102,TO_CO_TFTU000096,TO_CO_TFTU000133,TO_CO_TFTU000075,TO_CO_TFTU000035,TO_CO_TFTU000125
TO_CO_TFTU000126,TO_CO_TFTU000127,TO_CO_TFTU000119,TO_CO_TFTU000062,TO_CO_TFTU000117,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000042,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000098,TO_CO_TFTU000105,TO_CO_TFTU000121,TO_CO_TFTU000123,TO_CO_TFTU000106
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000057,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000089,TO_CO_TFTU000039,TO_CO_TFTU000099,TO_CO_TFTU000043,TO_CO_TFTU000117,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000121,TO_CO_TFTU000102,TO_CO_TFTU000096,TO_CO_TFTU000129,TO_CO_TFTU000075,TO_CO_TFTU000106,TO_CO_TFTU000125
TO_CO_TFTU000130,TO_CO_TFTU000124,TO_CO_TFTU000126,TO_CO_TFTU000062,TO_CO_TFTU000115,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000137,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000126
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000117,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000043,TO_CO_TFTU000129,TO_CO_TFTU000099,TO_CO_TFTU000043,TO_CO_TFTU000116,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000121,TO_CO_TFTU000102,TO_CO_TFTU000096,TO_CO_TFTU000128,TO_CO_TFTU000075,TO_CO_TFTU000119,TO_CO_TFTU000125
TO_CO_TFTU000127,TO_CO_TFTU000124,TO_CO_TFTU000117,TO_CO_TFTU000062,TO_CO_TFTU000124,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000139,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000121,TO_CO_TFTU000123,TO_CO_TFTU000127
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000057,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000122,TO_CO_TFTU000133,TO_CO_TFTU000099,TO_CO_TFTU000043,TO_CO_TFTU000106,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000030,TO_CO_TFTU000102,TO_CO_TFTU000121,TO_CO_TFTU000130,TO_CO_TFTU000075,TO_CO_TFTU000119,TO_CO_TFTU000125
TO_CO_TFTU000116,TO_CO_TFTU000126,TO_CO_TFTU000106,TO_CO_TFTU000062,TO_CO_TFTU000057,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000137,TO_CO_TFTU000121,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000025
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000132,TO_CO_TFTU000133,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000102,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000098,TO_CO_TFTU000127,TO_CO_TFTU000021,TO_CO_TFTU000129,TO_CO_TFTU000119,TO_CO_TFTU000119,TO_CO_TFTU000125
TO_CO_TFTU000116,TO_CO_TFTU000124,TO_CO_TFTU000124,TO_CO_TFTU000062,TO_CO_TFTU000106,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000139,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000126
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000128,TO_CO_TFTU000129,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000043,TO_CO_TFTU000040,TO_CO_TFTU000111,TO_CO_TFTU000121,TO_CO_TFTU000025,TO_CO_TFTU000021,TO_CO_TFTU000133,TO_CO_TFTU000133,TO_CO_TFTU000131,TO_CO_TFTU000125
TO_CO_TFTU000117,TO_CO_TFTU000057,TO_CO_TFTU000117,TO_CO_TFTU000127,TO_CO_TFTU000025,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000141,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000127
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000073,TO_CO_TFTU000095,TO_CO_TFTU000128,TO_CO_TFTU000142,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000126,TO_CO_TFTU000040,TO_CO_TFTU000057,TO_CO_TFTU000098,TO_CO_TFTU000043,TO_CO_TFTU000021,TO_CO_TFTU000131,TO_CO_TFTU000133,TO_CO_TFTU000119,TO_CO_TFTU000125
TO_CO_TFTU000117,TO_CO_TFTU000057,TO_CO_TFTU000117,TO_CO_TFTU000057,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000131,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000106
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000030,TO_CO_TFTU000095,TO_CO_TFTU000122,TO_CO_TFTU000129,TO_CO_TFTU000099,TO_CO_TFTU000025,TO_CO_TFTU000124,TO_CO_TFTU000040,TO_CO_TFTU000132,TO_CO_TFTU000030,TO_CO_TFTU000043,TO_CO_TFTU000054,TO_CO_TFTU000130,TO_CO_TFTU000133,TO_CO_TFTU000131,TO_CO_TFTU000125
TO_CO_TFTU000126,TO_CO_TFTU000106,TO_CO_TFTU000057,TO_CO_TFTU000130,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000135,TO_CO_TFTU000122,TO_CO_TFTU000104,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000102
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000128,TO_CO_TFTU000095,TO_CO_TFTU000128,TO_CO_TFTU000129,TO_CO_TFTU000099,TO_CO_TFTU000043,TO_CO_TFTU000127,TO_CO_TFTU000040,TO_CO_TFTU000142,TO_CO_TFTU000121,TO_CO_TFTU000043,TO_CO_TFTU000054,TO_CO_TFTU000132,TO_CO_TFTU000119,TO_CO_TFTU000130,TO_CO_TFTU000125
TO_CO_TFTU000124,TO_CO_TFTU000106,TO_CO_TFTU000117,TO_CO_TFTU000057,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000100,TO_CO_TFTU000103,TO_CO_TFTU000137,TO_CO_TFTU000122,TO_CO_TFTU000122,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000102
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000132,TO_CO_TFTU000095,TO_CO_TFTU000132,TO_CO_TFTU000137,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000124,TO_CO_TFTU000040,TO_CO_TFTU000142,TO_CO_TFTU000121,TO_CO_TFTU000127,TO_CO_TFTU000021,TO_CO_TFTU000139,TO_CO_TFTU000129,TO_CO_TFTU000133,TO_CO_TFTU000125
TO_CO_TFTU000117,TO_CO_TFTU000119,TO_CO_TFTU000117,TO_CO_TFTU000119,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000139,TO_CO_TFTU000103,TO_CO_TFTU000142,TO_CO_TFTU000122,TO_CO_TFTU000124,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000106
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000128,TO_CO_TFTU000095,TO_CO_TFTU000132,TO_CO_TFTU000139,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000030,TO_CO_TFTU000040,TO_CO_TFTU000142,TO_CO_TFTU000121,TO_CO_TFTU000043,TO_CO_TFTU000054,TO_CO_TFTU000142,TO_CO_TFTU000130,TO_CO_TFTU000133,TO_CO_TFTU000125
TO_CO_TFTU000127,TO_CO_TFTU000106,TO_CO_TFTU000057,TO_CO_TFTU000130,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000137,TO_CO_TFTU000147,TO_CO_TFTU000147,TO_CO_TFTU000122,TO_CO_TFTU000124,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000129
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000128,TO_CO_TFTU000142,TO_CO_TFTU000128,TO_CO_TFTU000141,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000030,TO_CO_TFTU000040,TO_CO_TFTU000119,TO_CO_TFTU000121,TO_CO_TFTU000127,TO_CO_TFTU000021,TO_CO_TFTU000140,TO_CO_TFTU000124,TO_CO_TFTU000133,TO_CO_TFTU000125
TO_CO_TFTU000043,TO_CO_TFTU000043,TO_CO_TFTU000025,TO_CO_TFTU000106,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000137,TO_CO_TFTU000147,TO_CO_TFTU000147,TO_CO_TFTU000122,TO_CO_TFTU000106,TO_CO_TFTU000113,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000124
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000107,TO_CO_TFTU000116,TO_CO_TFTU000132,TO_CO_TFTU000129,TO_CO_TFTU000076,TO_CO_TFTU000139,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000030,TO_CO_TFTU000040,TO_CO_TFTU000141,TO_CO_TFTU000121,TO_CO_TFTU000127,TO_CO_TFTU000021,TO_CO_TFTU000131,TO_CO_TFTU000106,TO_CO_TFTU000130,TO_CO_TFTU000125
TO_CO_TFTU000117,TO_CO_TFTU000117,TO_CO_TFTU000043,TO_CO_TFTU000124,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000139,TO_CO_TFTU000130,TO_CO_TFTU000131,TO_CO_TFTU000122,TO_CO_TFTU000124,TO_CO_TFTU000132,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000057
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000147,TO_CO_TFTU000116,TO_CO_TFTU000132,TO_CO_TFTU000139,TO_CO_TFTU000094,TO_CO_TFTU000119,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000030,TO_CO_TFTU000040,TO_CO_TFTU000142,TO_CO_TFTU000121,TO_CO_TFTU000127,TO_CO_TFTU000021,TO_CO_TFTU000131,TO_CO_TFTU000124,TO_CO_TFTU000142,TO_CO_TFTU000125
TO_CO_TFTU000043,TO_CO_TFTU000117,TO_CO_TFTU000043,TO_CO_TFTU000133,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000115,TO_CO_TFTU000141,TO_CO_TFTU000048,TO_CO_TFTU000129,TO_CO_TFTU000122,TO_CO_TFTU000129,TO_CO_TFTU000138,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000106
TO_CO_TFTU000080,TO_CO_TFTU000120,TO_CO_TFTU000135,TO_CO_TFTU000116,TO_CO_TFTU000132,TO_CO_TFTU000137,TO_CO_TFTU000128,TO_CO_TFTU000131,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000030,TO_CO_TFTU000040,TO_CO_TFTU000141,TO_CO_TFTU000121,TO_CO_TFTU000127,TO_CO_TFTU000021,TO_CO_TFTU000119,TO_CO_TFTU000106,TO_CO_TFTU000142,TO_CO_TFTU000125
TO_CO_TFTU000057,TO_CO_TFTU000117,TO_CO_TFTU000043,TO_CO_TFTU000130,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000131,TO_CO_TFTU000025,TO_CO_TFTU000133,TO_CO_TFTU000122,TO_CO_TFTU000106,TO_CO_TFTU000138,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000119
TO_CO_TFTU000115,TO_CO_TFTU000120,TO_CO_TFTU000131,TO_CO_TFTU000116,TO_CO_TFTU000132,TO_CO_TFTU000139,TO_CO_TFTU000128,TO_CO_TFTU000137,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000030,TO_CO_TFTU000040,TO_CO_TFTU000141,TO_CO_TFTU000121,TO_CO_TFTU000127,TO_CO_TFTU000021,TO_CO_TFTU000129,TO_CO_TFTU000132,TO_CO_TFTU000025,TO_CO_TFTU000125
TO_CO_TFTU000057,TO_CO_TFTU000117,TO_CO_TFTU000043,TO_CO_TFTU000129,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000138,TO_CO_TFTU000149,TO_CO_TFTU000133,TO_CO_TFTU000122,TO_CO_TFTU000133,TO_CO_TFTU000138,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000025
TO_CO_TFTU000146,TO_CO_TFTU000120,TO_CO_TFTU000140,TO_CO_TFTU000116,TO_CO_TFTU000132,TO_CO_TFTU000139,TO_CO_TFTU000128,TO_CO_TFTU000147,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000030,TO_CO_TFTU000040,TO_CO_TFTU000129,TO_CO_TFTU000121,TO_CO_TFTU000127,TO_CO_TFTU000054,TO_CO_TFTU000124,TO_CO_TFTU000124,TO_CO_TFTU000106,TO_CO_TFTU000125
TO_CO_TFTU000057,TO_CO_TFTU000117,TO_CO_TFTU000043,TO_CO_TFTU000135,TO_CO_TFTU000126,TO_CO_TFTU000081,TO_CO_TFTU000114,TO_CO_TFTU000087,TO_CO_TFTU000094,TO_CO_TFTU000147,TO_CO_TFTU000149,TO_CO_TFTU000119,TO_CO_TFTU000122,TO_CO_TFTU000119,TO_CO_TFTU000112,TO_CO_TFTU000097,TO_CO_TFTU000105,TO_CO_TFTU000098,TO_CO_TFTU000123,TO_CO_TFTU000106
TO_CO_TFTU000151,TO_CO_TFTU000120,TO_CO_TFTU000151,TO_CO_TFTU000116,TO_CO_TFTU000138,TO_CO_TFTU000137,TO_CO_TFTU000128,TO_CO_TFTU000147,TO_CO_TFTU000099,TO_CO_TFTU000102,TO_CO_TFTU000030,TO_CO_TFTU000040,TO_CO_TFTU000025,TO_CO_TFTU000121,TO_CO_TFTU000127,TO_CO_TFTU000021,TO_CO_TFTU000130,TO_CO_TFTU000130,TO_CO_TFTU000106,TO_CO_TFTU000125
