TractorOrderId,Origin,Destination
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000046,QC003,YARD001.36
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000036,QC005,WS010.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000072,QC005,YARD001.14
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000024,QC005,WS007.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000017,QC005,WS007.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000075,QC006,YARD001.19
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000075,QC006,YARD001.19
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000075,QC006,YARD001.19
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000073,QC005,WS010.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000073,QC005,WS010.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000097,QC003,YARD001.62
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000098,QC003,WS004.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000096,QC003,YARD001.27
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000097,QC003,YARD001.62
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000069,QC006,WS002.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000125,QC005,WS001.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000116,QC005,WS002.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000117,QC005,WS003.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000116,QC005,WS002.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000117,QC005,WS003.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000117,QC005,WS003.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000123,QC004,WS004.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000126,QC005,YARD001.27
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000123,QC004,WS004.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000126,QC005,YARD001.27
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000127,QC006,YARD001.29
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000117,QC005,WS003.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000116,QC005,WS002.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000106,QC005,WS010.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000102,QC006,WS008.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000126,QC005,YARD001.27
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000124,QC005,WS008.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000127,QC006,YARD001.29
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000124,QC005,WS008.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000147,QC005,YARD001.51
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000147,QC005,YARD001.51
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000130,QC006,YARD001.04
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000048,QC006,WS014.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000025,QC006,WS012.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000149,QC005,WS004.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000149,QC005,WS004.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000149,QC005,WS004.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000149,QC005,WS004.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000149,QC005,WS004.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000149,QC005,WS004.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000153,QC004,WS003.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000154,QC005,WS008.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000141,QC004,YARD001.14
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000135,QC006,WS008.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000088,QC005,WS013.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000135,QC006,WS008.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000151,QC006,YARD001.57
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000147,QC005,YARD001.51
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000088,QC005,WS013.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000151,QC006,YARD001.57
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000151,QC006,YARD001.57
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000151,QC006,YARD001.57
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000152,QC006,YARD001.24
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000141,QC004,YARD001.14
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000152,QC006,YARD001.24
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000149,QC005,WS004.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000088,QC005,WS013.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000156,QC006,WS001.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000157,RAIL001.101,WS009.01
TO_CO_TFTU000030,QC003,WS012.01
TO_CO_TFTU000153,QC004,WS003.01
TO_CO_TFTU000152,QC006,YARD001.24
TO_CO_TFTU000153,QC004,WS003.01
TO_CO_TFTU000154,QC005,WS008.01
TO_CO_TFTU000153,QC004,WS003.01
TO_CO_TFTU000152,QC006,YARD001.24
TO_CO_TFTU000153,QC004,WS003.01
TO_CO_TFTU000154,QC005,WS008.01
TO_CO_TFTU000153,QC004,WS003.01
TO_CO_TFTU000143,QC006,WS010.01
