TractorOrderId,Origin,Destination
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000024,QC005,WS007.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000034,QC003,WS002.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000034,QC003,WS002.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000024,QC005,WS007.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000024,QC005,WS007.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000020,QC003,YARD001.36
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000064,QC003,YARD001.45
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000064,QC003,YARD001.45
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000064,QC003,YARD001.45
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000064,QC003,YARD001.45
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000032,QC005,YARD001.25
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000064,QC003,YARD001.45
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000062,QC001,WS002.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000080,QC001,WS002.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000080,QC001,WS002.01
