TractorOrderId,Origin,Destination
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000038,QC007,WS004.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000026,QC006,YARD001.54
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000019,QC003,YARD001.55
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000090,QC006,YARD001.52
TO_CO_TFTU000027,QC006,WS007.01
TO_CO_TFTU000082,QC005,YARD001.31
TO_CO_TFTU000027,QC006,WS007.01
