TractorOrderId,Origin,Destination
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000052,QC005,YARD001.46
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000066,QC004,YARD001.31
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000024,QC005,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000024,QC005,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000047,QC005,WS003.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000051,QC005,WS003.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000059,QC006,YARD001.58
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000045,QC003,YARD001.20
TO_CO_TFTU000016,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000074,QC005,YARD001.24
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000053,QC006,WS003.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000082,QC005,YARD001.31
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000090,QC006,YARD001.52
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000090,QC006,YARD001.52
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000037,QC006,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000040,QC005,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000015,QC005,WS016.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000085,RAIL001.65,WS003.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000039,RAIL001.01,WS003.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000035,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000073,QC005,WS010.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000075,QC006,YARD001.19
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000031,QC004,WS012.01
TO_CO_TFTU000029,RAIL001.76,WS007.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000095,QC003,YARD001.14
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000104,QC005,YARD001.27
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000087,QC005,WS010.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000104,QC005,YARD001.27
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000106,QC005,WS010.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000103,QC003,WS003.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000113,QC005,YARD001.44
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000111,QC004,YARD001.31
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000113,QC005,YARD001.44
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000111,QC004,YARD001.31
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000100,QC005,YARD001.50
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000111,QC004,YARD001.31
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000104,QC005,YARD001.27
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000043,QC006,WS010.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000057,QC005,WS012.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000111,QC004,YARD001.31
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000113,QC005,YARD001.44
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000113,QC005,YARD001.44
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000113,QC005,YARD001.44
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000106,QC005,WS010.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000106,QC005,WS010.01
TO_CO_TFTU000065,QC003,WS004.01
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000106,QC005,WS010.01
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000126,QC005,YARD001.27
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000129,QC006,YARD001.03
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000130,QC006,YARD001.04
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000133,QC005,YARD001.36
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000129,QC006,YARD001.03
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000128,QC003,YARD001.14
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000130,QC006,YARD001.04
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000129,QC006,YARD001.03
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000133,QC005,YARD001.36
TO_CO_TFTU000105,QC005,WS010.01
TO_CO_TFTU000131,RAIL001.20,WS003.01
TO_CO_TFTU000105,QC005,WS010.01
