Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC006,TO_CO_TFTU000010,PICK,driving,start,58
1,2024-11-14 10:27:10,SC006,TO_CO_TFTU000010,PICK,driving,start,58
2,2024-11-14 10:28:08,SC006,TO_CO_TFTU000010,PICK,arriving,at QC005,58
3,2024-11-14 10:29:34,SC006,TO_CO_TFTU000010,PICK,waited,at QC005,96
4,2024-11-14 10:29:34,SC006,TO_CO_TFTU000010,PICK,working,at QC005,60
5,2024-11-14 10:30:34,SC006,TO_CO_TFTU000010,PICK,finished,at QC005,0
6,2024-11-14 10:30:34,SC006,TO_CO_TFTU000010,DROP,driving,at QC005,133
7,2024-11-14 10:32:47,SC006,TO_CO_TFTU000010,DROP,arriving,at WS015.01,133
8,2024-11-14 10:32:47,SC006,TO_CO_TFTU000010,DROP,working,at WS015.01,60
9,2024-11-14 10:33:47,SC006,TO_CO_TFTU000010,DROP,finished,at WS015.01,0
10,2024-11-14 10:33:47,SC006,TO_CO_TFTU000082,PICK,driving,at WS015.01,133
11,2024-11-14 10:36:00,SC006,TO_CO_TFTU000082,PICK,arriving,at QC005,133
12,2024-11-14 10:37:02,SC006,TO_CO_TFTU000082,PICK,waited,at QC005,62
13,2024-11-14 10:37:02,SC006,TO_CO_TFTU000082,PICK,working,at QC005,60
14,2024-11-14 10:38:02,SC006,TO_CO_TFTU000082,PICK,finished,at QC005,0
15,2024-11-14 10:38:02,SC006,TO_CO_TFTU000082,DROP,driving,at QC005,27
16,2024-11-14 10:38:29,SC006,TO_CO_TFTU000082,DROP,arriving,at YARD001.31,27
17,2024-11-14 10:38:30,SC006,TO_CO_TFTU000082,DROP,working,at YARD001.31,61
18,2024-11-14 10:39:30,SC006,TO_CO_TFTU000082,DROP,finished,at YARD001.31,0
19,2024-11-14 10:39:30,SC006,TO_CO_TFTU000095,PICK,driving,at YARD001.31,24
20,2024-11-14 10:39:54,SC006,TO_CO_TFTU000095,PICK,arriving,at QC003,24
21,2024-11-14 10:40:19,SC006,TO_CO_TFTU000095,PICK,waited,at QC003,25
22,2024-11-14 10:40:19,SC006,TO_CO_TFTU000095,PICK,working,at QC003,60
23,2024-11-14 10:41:19,SC006,TO_CO_TFTU000095,PICK,finished,at QC003,0
24,2024-11-14 10:41:20,SC006,TO_CO_TFTU000095,DROP,driving,at QC003,22
25,2024-11-14 10:41:42,SC006,TO_CO_TFTU000095,DROP,arriving,at YARD001.14,22
26,2024-11-14 10:41:42,SC006,TO_CO_TFTU000095,DROP,working,at YARD001.14,60
27,2024-11-14 10:42:42,SC006,TO_CO_TFTU000095,DROP,finished,at YARD001.14,0
28,2024-11-14 10:42:42,SC006,TO_CO_TFTU000081,PICK,driving,at YARD001.14,11
29,2024-11-14 10:42:53,SC006,TO_CO_TFTU000081,PICK,arriving,at QC001,11
30,2024-11-14 10:42:53,SC006,TO_CO_TFTU000081,PICK,working,at QC001,60
31,2024-11-14 10:43:53,SC006,TO_CO_TFTU000081,PICK,finished,at QC001,0
32,2024-11-14 10:43:53,SC006,TO_CO_TFTU000081,DROP,driving,at QC001,83
33,2024-11-14 10:45:16,SC006,TO_CO_TFTU000081,DROP,arriving,at WS004.01,83
34,2024-11-14 10:45:29,SC006,TO_CO_TFTU000081,DROP,waited,at WS004.01,13
35,2024-11-14 10:45:29,SC006,TO_CO_TFTU000081,DROP,working,at WS004.01,60
36,2024-11-14 10:46:29,SC006,TO_CO_TFTU000081,DROP,finished,at WS004.01,0
37,2024-11-14 10:46:29,SC006,TO_CO_TFTU000135,PICK,driving,at WS004.01,70
38,2024-11-14 10:47:39,SC006,TO_CO_TFTU000135,PICK,arriving,at QC006,70
39,2024-11-14 10:47:39,SC006,TO_CO_TFTU000135,PICK,working,at QC006,60
40,2024-11-14 10:48:39,SC006,TO_CO_TFTU000135,PICK,finished,at QC006,0
41,2024-11-14 10:48:39,SC006,TO_CO_TFTU000135,DROP,driving,at QC006,88
42,2024-11-14 10:50:07,SC006,TO_CO_TFTU000135,DROP,arriving,at WS008.01,88
43,2024-11-14 10:50:07,SC006,TO_CO_TFTU000135,DROP,working,at WS008.01,60
44,2024-11-14 10:51:07,SC006,TO_CO_TFTU000135,DROP,finished,at WS008.01,0
45,2024-11-14 10:51:07,SC006,TO_CO_TFTU000166,PICK,driving,at WS008.01,83
46,2024-11-14 10:52:30,SC006,TO_CO_TFTU000166,PICK,arriving,at QC003,83
47,2024-11-14 10:52:30,SC006,TO_CO_TFTU000166,PICK,working,at QC003,60
48,2024-11-14 10:53:30,SC006,TO_CO_TFTU000166,PICK,finished,at QC003,0
49,2024-11-14 10:53:30,SC006,TO_CO_TFTU000166,DROP,driving,at QC003,71
50,2024-11-14 10:54:41,SC006,TO_CO_TFTU000166,DROP,arriving,at YARD001.57,71
51,2024-11-14 10:54:41,SC006,TO_CO_TFTU000166,DROP,working,at YARD001.57,60
52,2024-11-14 10:55:41,SC006,TO_CO_TFTU000166,DROP,finished,at YARD001.57,0
53,2024-11-14 10:55:41,SC006,TO_CO_TFTU000028,PICK,driving,at YARD001.57,17
54,2024-11-14 10:55:58,SC006,TO_CO_TFTU000028,PICK,arriving,at QC007,17
55,2024-11-14 10:55:58,SC006,TO_CO_TFTU000028,PICK,working,at QC007,60
56,2024-11-14 10:56:58,SC006,TO_CO_TFTU000028,PICK,finished,at QC007,0
57,2024-11-14 10:56:58,SC006,TO_CO_TFTU000028,DROP,driving,at QC007,160
58,2024-11-14 10:59:38,SC006,TO_CO_TFTU000028,DROP,arriving,at WS014.01,160
59,2024-11-14 10:59:38,SC006,TO_CO_TFTU000028,DROP,working,at WS014.01,60
60,2024-11-14 11:00:38,SC006,TO_CO_TFTU000028,DROP,finished,at WS014.01,0
61,2024-11-14 11:00:38,SC006,TO_CO_TFTU000093,PICK,driving,at WS014.01,142
62,2024-11-14 11:03:00,SC006,TO_CO_TFTU000093,PICK,arriving,at QC006,142
63,2024-11-14 11:03:00,SC006,TO_CO_TFTU000093,PICK,working,at QC006,60
64,2024-11-14 11:04:00,SC006,TO_CO_TFTU000093,PICK,finished,at QC006,0
65,2024-11-14 11:04:00,SC006,TO_CO_TFTU000093,DROP,driving,at QC006,151
66,2024-11-14 11:06:31,SC006,TO_CO_TFTU000093,DROP,arriving,at WS015.01,151
67,2024-11-14 11:06:31,SC006,TO_CO_TFTU000093,DROP,working,at WS015.01,60
68,2024-11-14 11:07:31,SC006,TO_CO_TFTU000093,DROP,finished,at WS015.01,0
69,2024-11-14 11:07:31,SC006,TO_CO_TFTU000172,PICK,driving,at WS015.01,151
70,2024-11-14 11:10:02,SC006,TO_CO_TFTU000172,PICK,arriving,at QC006,151
71,2024-11-14 11:10:02,SC006,TO_CO_TFTU000172,PICK,working,at QC006,60
72,2024-11-14 11:11:02,SC006,TO_CO_TFTU000172,PICK,finished,at QC006,0
73,2024-11-14 11:11:02,SC006,TO_CO_TFTU000172,DROP,driving,at QC006,142
74,2024-11-14 11:13:24,SC006,TO_CO_TFTU000172,DROP,arriving,at WS014.01,142
75,2024-11-14 11:13:24,SC006,TO_CO_TFTU000172,DROP,working,at WS014.01,60
76,2024-11-14 11:14:24,SC006,TO_CO_TFTU000172,DROP,finished,at WS014.01,0
77,2024-11-14 11:14:24,SC006,TO_CO_TFTU000228,PICK,driving,at WS014.01,124
78,2024-11-14 11:16:28,SC006,TO_CO_TFTU000228,PICK,arriving,at QC005,124
79,2024-11-14 11:17:10,SC006,TO_CO_TFTU000228,PICK,waited,at QC005,42
80,2024-11-14 11:17:10,SC006,TO_CO_TFTU000228,PICK,working,at QC005,60
81,2024-11-14 11:18:11,SC006,TO_CO_TFTU000228,PICK,finished,at QC005,0
