Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC012,TO_CO_TFTU000006,PICK,driving,start,11
1,2024-11-14 10:27:10,SC012,TO_CO_TFTU000006,PICK,driving,start,11
2,2024-11-14 10:27:21,SC012,TO_CO_TFTU000006,PICK,arriving,at QC003,11
3,2024-11-14 10:28:07,SC012,TO_CO_TFTU000006,PICK,waited,at QC003,56
4,2024-11-14 10:28:07,SC012,TO_CO_TFTU000006,PICK,working,at QC003,60
5,2024-11-14 10:29:07,SC012,TO_CO_TFTU000006,PICK,finished,at QC003,0
6,2024-11-14 10:29:07,SC012,TO_CO_TFTU000006,DROP,driving,at QC003,33
7,2024-11-14 10:29:40,SC012,TO_CO_TFTU000006,DROP,arriving,at YARD001.36,33
8,2024-11-14 10:29:40,SC012,TO_CO_TFTU000006,DROP,working,at YARD001.36,60
9,2024-11-14 10:30:40,SC012,TO_CO_TFTU000006,DROP,finished,at YARD001.36,0
10,2024-11-14 10:30:40,SC012,TO_CO_TFTU000024,PICK,driving,at YARD001.36,18
11,2024-11-14 10:30:58,SC012,TO_CO_TFTU000024,PICK,arriving,at QC005,18
12,2024-11-14 10:30:59,SC012,TO_CO_TFTU000024,PICK,working,at QC005,61
13,2024-11-14 10:31:59,SC012,TO_CO_TFTU000024,PICK,finished,at QC005,0
14,2024-11-14 10:31:59,SC012,TO_CO_TFTU000024,DROP,driving,at QC005,61
15,2024-11-14 10:33:00,SC012,TO_CO_TFTU000024,DROP,arriving,at WS007.01,61
16,2024-11-14 10:33:00,SC012,TO_CO_TFTU000024,DROP,working,at WS007.01,60
17,2024-11-14 10:34:00,SC012,TO_CO_TFTU000024,DROP,finished,at WS007.01,0
18,2024-11-14 10:34:00,SC012,TO_CO_TFTU000074,PICK,driving,at WS007.01,61
19,2024-11-14 10:35:01,SC012,TO_CO_TFTU000074,PICK,arriving,at QC005,61
20,2024-11-14 10:35:01,SC012,TO_CO_TFTU000074,PICK,working,at QC005,60
21,2024-11-14 10:36:01,SC012,TO_CO_TFTU000074,PICK,finished,at QC005,0
22,2024-11-14 10:36:01,SC012,TO_CO_TFTU000074,DROP,driving,at QC005,40
23,2024-11-14 10:36:41,SC012,TO_CO_TFTU000074,DROP,arriving,at YARD001.24,40
24,2024-11-14 10:36:41,SC012,TO_CO_TFTU000074,DROP,working,at YARD001.24,60
25,2024-11-14 10:37:41,SC012,TO_CO_TFTU000074,DROP,finished,at YARD001.24,0
26,2024-11-14 10:37:41,SC012,TO_CO_TFTU000086,PICK,driving,at YARD001.24,11
27,2024-11-14 10:37:52,SC012,TO_CO_TFTU000086,PICK,arriving,at QC003,11
28,2024-11-14 10:38:11,SC012,TO_CO_TFTU000086,PICK,waited,at QC003,18
29,2024-11-14 10:38:11,SC012,TO_CO_TFTU000086,PICK,working,at QC003,61
30,2024-11-14 10:39:12,SC012,TO_CO_TFTU000086,PICK,finished,at QC003,0
31,2024-11-14 10:39:12,SC012,TO_CO_TFTU000086,DROP,driving,at QC003,47
32,2024-11-14 10:39:59,SC012,TO_CO_TFTU000086,DROP,arriving,at WS002.01,47
33,2024-11-14 10:39:59,SC012,TO_CO_TFTU000086,DROP,working,at WS002.01,60
34,2024-11-14 10:40:59,SC012,TO_CO_TFTU000086,DROP,finished,at WS002.01,0
35,2024-11-14 10:40:59,SC012,TO_CO_TFTU000040,PICK,driving,at WS002.01,34
36,2024-11-14 10:41:33,SC012,TO_CO_TFTU000040,PICK,arriving,at QC005,34
37,2024-11-14 10:42:21,SC012,TO_CO_TFTU000040,PICK,waited,at QC005,48
38,2024-11-14 10:42:21,SC012,TO_CO_TFTU000040,PICK,working,at QC005,60
39,2024-11-14 10:43:21,SC012,TO_CO_TFTU000040,PICK,finished,at QC005,0
40,2024-11-14 10:43:21,SC012,TO_CO_TFTU000040,DROP,driving,at QC005,106
41,2024-11-14 10:45:07,SC012,TO_CO_TFTU000040,DROP,arriving,at WS012.01,106
42,2024-11-14 10:45:07,SC012,TO_CO_TFTU000040,DROP,working,at WS012.01,60
43,2024-11-14 10:46:07,SC012,TO_CO_TFTU000040,DROP,finished,at WS012.01,0
44,2024-11-14 10:46:07,SC012,TO_CO_TFTU000139,PICK,driving,at WS012.01,119
45,2024-11-14 10:48:06,SC012,TO_CO_TFTU000139,PICK,arriving,at QC003,119
46,2024-11-14 10:48:24,SC012,TO_CO_TFTU000139,PICK,waited,at QC003,18
47,2024-11-14 10:48:24,SC012,TO_CO_TFTU000139,PICK,working,at QC003,60
48,2024-11-14 10:49:24,SC012,TO_CO_TFTU000139,PICK,finished,at QC003,0
49,2024-11-14 10:49:25,SC012,TO_CO_TFTU000139,DROP,driving,at QC003,17
50,2024-11-14 10:49:41,SC012,TO_CO_TFTU000139,DROP,working,at YARD001.27,60
51,2024-11-14 10:49:42,SC012,TO_CO_TFTU000139,DROP,arriving,at YARD001.27,17
52,2024-11-14 10:50:41,SC012,TO_CO_TFTU000139,DROP,finished,at YARD001.27,0
53,2024-11-14 10:50:41,SC012,TO_CO_TFTU000158,PICK,driving,at YARD001.27,17
54,2024-11-14 10:50:58,SC012,TO_CO_TFTU000158,PICK,arriving,at QC004,17
55,2024-11-14 10:50:58,SC012,TO_CO_TFTU000158,PICK,working,at QC004,60
56,2024-11-14 10:51:58,SC012,TO_CO_TFTU000158,PICK,finished,at QC004,0
57,2024-11-14 10:51:58,SC012,TO_CO_TFTU000158,DROP,driving,at QC004,83
58,2024-11-14 10:53:21,SC012,TO_CO_TFTU000158,DROP,arriving,at WS010.01,83
59,2024-11-14 10:53:21,SC012,TO_CO_TFTU000158,DROP,working,at WS010.01,60
60,2024-11-14 10:54:21,SC012,TO_CO_TFTU000158,DROP,finished,at WS010.01,0
61,2024-11-14 10:54:21,SC012,TO_CO_TFTU000078,PICK,driving,at WS010.01,124
62,2024-11-14 10:56:25,SC012,TO_CO_TFTU000078,PICK,arriving,at QC007,124
63,2024-11-14 10:56:25,SC012,TO_CO_TFTU000078,PICK,working,at QC007,60
64,2024-11-14 10:57:25,SC012,TO_CO_TFTU000078,PICK,finished,at QC007,0
65,2024-11-14 10:57:25,SC012,TO_CO_TFTU000078,DROP,driving,at QC007,151
66,2024-11-14 10:59:56,SC012,TO_CO_TFTU000078,DROP,arriving,at WS013.01,151
67,2024-11-14 10:59:56,SC012,TO_CO_TFTU000078,DROP,working,at WS013.01,60
68,2024-11-14 11:00:56,SC012,TO_CO_TFTU000078,DROP,finished,at WS013.01,0
69,2024-11-14 11:00:56,SC012,TO_CO_TFTU000150,PICK,driving,at WS013.01,115
70,2024-11-14 11:02:51,SC012,TO_CO_TFTU000150,PICK,arriving,at QC005,115
71,2024-11-14 11:02:51,SC012,TO_CO_TFTU000150,PICK,working,at QC005,60
72,2024-11-14 11:03:51,SC012,TO_CO_TFTU000150,PICK,finished,at QC005,0
73,2024-11-14 11:03:51,SC012,TO_CO_TFTU000150,DROP,driving,at QC005,115
