Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC002,TO_CO_TFTU000023,PICK,driving,start,29
1,2024-11-14 10:27:10,SC002,TO_CO_TFTU000023,PICK,driving,start,29
2,2024-11-14 10:27:39,SC002,TO_CO_TFTU000023,PICK,arriving,at QC003,29
3,2024-11-14 10:30:07,SC002,TO_CO_TFTU000023,PICK,waited,at QC003,158
4,2024-11-14 10:30:07,SC002,TO_CO_TFTU000023,PICK,working,at QC003,60
5,2024-11-14 10:31:07,SC002,TO_CO_TFTU000023,PICK,finished,at QC003,0
6,2024-11-14 10:31:07,SC002,TO_CO_TFTU000023,DROP,driving,at QC003,146
7,2024-11-14 10:33:33,SC002,TO_CO_TFTU000023,DROP,arriving,at WS015.01,146
8,2024-11-14 10:33:33,SC002,TO_CO_TFTU000023,DROP,working,at WS015.01,60
9,2024-11-14 10:34:33,SC002,TO_CO_TFTU000023,DROP,finished,at WS015.01,0
10,2024-11-14 10:34:33,SC002,TO_CO_TFTU000085,PICK,driving,at WS015.01,143
11,2024-11-14 10:36:56,SC002,TO_CO_TFTU000085,PICK,arriving,at RAIL001.65,143
12,2024-11-14 10:36:56,SC002,TO_CO_TFTU000085,PICK,working,at RAIL001.65,60
13,2024-11-14 10:37:56,SC002,TO_CO_TFTU000085,PICK,finished,at RAIL001.65,0
14,2024-11-14 10:37:56,SC002,TO_CO_TFTU000085,DROP,driving,at RAIL001.65,91
15,2024-11-14 10:39:27,SC002,TO_CO_TFTU000085,DROP,arriving,at WS003.01,91
16,2024-11-14 10:39:27,SC002,TO_CO_TFTU000085,DROP,working,at WS003.01,60
17,2024-11-14 10:40:27,SC002,TO_CO_TFTU000085,DROP,finished,at WS003.01,0
18,2024-11-14 10:40:27,SC002,TO_CO_TFTU000120,PICK,driving,at WS003.01,79
19,2024-11-14 10:41:46,SC002,TO_CO_TFTU000120,PICK,arriving,at QC007,79
20,2024-11-14 10:41:46,SC002,TO_CO_TFTU000120,PICK,working,at QC007,60
21,2024-11-14 10:42:46,SC002,TO_CO_TFTU000120,PICK,finished,at QC007,0
22,2024-11-14 10:42:46,SC002,TO_CO_TFTU000120,DROP,driving,at QC007,54
23,2024-11-14 10:43:40,SC002,TO_CO_TFTU000120,DROP,arriving,at YARD001.36,54
24,2024-11-14 10:43:41,SC002,TO_CO_TFTU000120,DROP,working,at YARD001.36,61
25,2024-11-14 10:44:41,SC002,TO_CO_TFTU000120,DROP,finished,at YARD001.36,0
26,2024-11-14 10:44:41,SC002,TO_CO_TFTU000117,PICK,driving,at YARD001.36,18
27,2024-11-14 10:44:59,SC002,TO_CO_TFTU000117,PICK,arriving,at QC005,18
