Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC017,TO_CO_TFTU000016,PICK,driving,start,38
1,2024-11-14 10:27:10,SC017,TO_CO_TFTU000016,PICK,driving,start,38
2,2024-11-14 10:27:38,SC017,TO_CO_TFTU000016,PICK,working,at QC005,60
3,2024-11-14 10:27:48,SC017,TO_CO_TFTU000016,PICK,arriving,at QC005,38
4,2024-11-14 10:28:38,SC017,TO_CO_TFTU000016,PICK,finished,at QC005,0
5,2024-11-14 10:28:38,SC017,TO_CO_TFTU000016,DROP,driving,at QC005,88
6,2024-11-14 10:30:05,SC017,TO_CO_TFTU000016,DROP,working,at WS010.01,60
7,2024-11-14 10:30:06,SC017,TO_CO_TFTU000016,DROP,arriving,at WS010.01,88
8,2024-11-14 10:31:05,SC017,TO_CO_TFTU000016,DROP,finished,at WS010.01,0
9,2024-11-14 10:31:05,SC017,TO_CO_TFTU000029,PICK,driving,at WS010.01,92
10,2024-11-14 10:32:37,SC017,TO_CO_TFTU000029,PICK,arriving,at RAIL001.76,92
11,2024-11-14 10:32:38,SC017,TO_CO_TFTU000029,PICK,working,at RAIL001.76,61
12,2024-11-14 10:33:38,SC017,TO_CO_TFTU000029,PICK,finished,at RAIL001.76,0
13,2024-11-14 10:33:38,SC017,TO_CO_TFTU000029,DROP,driving,at RAIL001.76,79
14,2024-11-14 10:34:57,SC017,TO_CO_TFTU000029,DROP,arriving,at WS007.01,79
15,2024-11-14 10:34:57,SC017,TO_CO_TFTU000029,DROP,working,at WS007.01,60
16,2024-11-14 10:35:57,SC017,TO_CO_TFTU000029,DROP,finished,at WS007.01,0
17,2024-11-14 10:35:57,SC017,TO_CO_TFTU000065,PICK,driving,at WS007.01,74
18,2024-11-14 10:37:11,SC017,TO_CO_TFTU000065,PICK,arriving,at QC003,74
19,2024-11-14 10:37:11,SC017,TO_CO_TFTU000065,PICK,working,at QC003,60
20,2024-11-14 10:38:11,SC017,TO_CO_TFTU000065,PICK,finished,at QC003,0
21,2024-11-14 10:38:11,SC017,TO_CO_TFTU000065,DROP,driving,at QC003,65
22,2024-11-14 10:39:16,SC017,TO_CO_TFTU000065,DROP,arriving,at WS004.01,65
23,2024-11-14 10:39:16,SC017,TO_CO_TFTU000065,DROP,working,at WS004.01,60
24,2024-11-14 10:40:16,SC017,TO_CO_TFTU000065,DROP,finished,at WS004.01,0
