Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC019,TO_CO_TFTU000002,PICK,driving,start,35
1,2024-11-14 10:27:10,SC019,TO_CO_TFTU000002,PICK,driving,start,35
2,2024-11-14 10:27:34,SC019,TO_CO_TFTU000002,PICK,working,at QC005,60
3,2024-11-14 10:27:45,SC019,TO_CO_TFTU000002,PICK,arriving,at QC005,35
4,2024-11-14 10:28:34,SC019,TO_CO_TFTU000002,PICK,finished,at QC005,0
5,2024-11-14 10:28:34,SC019,TO_CO_TFTU000002,DROP,driving,at QC005,106
6,2024-11-14 10:30:20,SC019,TO_CO_TFTU000002,DROP,arriving,at WS012.01,106
7,2024-11-14 10:30:20,SC019,TO_CO_TFTU000002,DROP,working,at WS012.01,60
8,2024-11-14 10:31:20,SC019,TO_CO_TFTU000002,DROP,finished,at WS012.01,0
9,2024-11-14 10:31:20,SC019,TO_CO_TFTU000056,PICK,driving,at WS012.01,101
10,2024-11-14 10:33:01,SC019,TO_CO_TFTU000056,PICK,arriving,at QC004,101
11,2024-11-14 10:33:01,SC019,TO_CO_TFTU000056,PICK,working,at QC004,60
12,2024-11-14 10:34:01,SC019,TO_CO_TFTU000056,PICK,finished,at QC004,0
13,2024-11-14 10:34:01,SC019,TO_CO_TFTU000056,DROP,driving,at QC004,38
14,2024-11-14 10:34:39,SC019,TO_CO_TFTU000056,DROP,arriving,at WS003.01,38
15,2024-11-14 10:34:39,SC019,TO_CO_TFTU000056,DROP,working,at WS003.01,60
16,2024-11-14 10:35:39,SC019,TO_CO_TFTU000056,DROP,finished,at WS003.01,0
17,2024-11-14 10:35:39,SC019,TO_CO_TFTU000035,PICK,driving,at WS003.01,43
18,2024-11-14 10:36:22,SC019,TO_CO_TFTU000035,PICK,arriving,at QC005,43
19,2024-11-14 10:38:02,SC019,TO_CO_TFTU000035,PICK,waited,at QC005,100
20,2024-11-14 10:38:02,SC019,TO_CO_TFTU000035,PICK,working,at QC005,60
21,2024-11-14 10:39:03,SC019,TO_CO_TFTU000035,PICK,finished,at QC005,0
22,2024-11-14 10:39:03,SC019,TO_CO_TFTU000035,DROP,driving,at QC005,88
23,2024-11-14 10:40:30,SC019,TO_CO_TFTU000035,DROP,working,at WS010.01,60
24,2024-11-14 10:40:31,SC019,TO_CO_TFTU000035,DROP,arriving,at WS010.01,88
25,2024-11-14 10:41:30,SC019,TO_CO_TFTU000035,DROP,finished,at WS010.01,0
26,2024-11-14 10:41:30,SC019,TO_CO_TFTU000123,PICK,driving,at WS010.01,83
27,2024-11-14 10:42:53,SC019,TO_CO_TFTU000123,PICK,arriving,at QC004,83
28,2024-11-14 10:42:53,SC019,TO_CO_TFTU000123,PICK,working,at QC004,60
29,2024-11-14 10:43:53,SC019,TO_CO_TFTU000123,PICK,finished,at QC004,0
30,2024-11-14 10:43:53,SC019,TO_CO_TFTU000123,DROP,driving,at QC004,47
31,2024-11-14 10:44:40,SC019,TO_CO_TFTU000123,DROP,arriving,at WS004.01,47
32,2024-11-14 10:44:40,SC019,TO_CO_TFTU000123,DROP,working,at WS004.01,60
33,2024-11-14 10:45:40,SC019,TO_CO_TFTU000123,DROP,finished,at WS004.01,0
34,2024-11-14 10:45:40,SC019,TO_CO_TFTU000106,PICK,driving,at WS004.01,52
35,2024-11-14 10:46:32,SC019,TO_CO_TFTU000106,PICK,arriving,at QC005,52
36,2024-11-14 10:46:32,SC019,TO_CO_TFTU000106,PICK,working,at QC005,60
37,2024-11-14 10:47:32,SC019,TO_CO_TFTU000106,PICK,finished,at QC005,0
38,2024-11-14 10:47:32,SC019,TO_CO_TFTU000106,DROP,driving,at QC005,88
39,2024-11-14 10:49:00,SC019,TO_CO_TFTU000106,DROP,arriving,at WS010.01,88
40,2024-11-14 10:49:00,SC019,TO_CO_TFTU000106,DROP,working,at WS010.01,60
41,2024-11-14 10:50:00,SC019,TO_CO_TFTU000106,DROP,finished,at WS010.01,0
42,2024-11-14 10:50:00,SC019,TO_CO_TFTU000164,PICK,driving,at WS010.01,106
43,2024-11-14 10:51:46,SC019,TO_CO_TFTU000164,PICK,arriving,at QC006,106
44,2024-11-14 10:51:46,SC019,TO_CO_TFTU000164,PICK,working,at QC006,60
45,2024-11-14 10:52:46,SC019,TO_CO_TFTU000164,PICK,finished,at QC006,0
46,2024-11-14 10:52:46,SC019,TO_CO_TFTU000164,DROP,driving,at QC006,76
47,2024-11-14 10:54:02,SC019,TO_CO_TFTU000164,DROP,arriving,at YARD001.14,76
48,2024-11-14 10:54:02,SC019,TO_CO_TFTU000164,DROP,working,at YARD001.14,60
49,2024-11-14 10:55:02,SC019,TO_CO_TFTU000164,DROP,finished,at YARD001.14,0
50,2024-11-14 10:55:02,SC019,TO_CO_TFTU000173,PICK,driving,at YARD001.14,11
51,2024-11-14 10:55:13,SC019,TO_CO_TFTU000173,PICK,arriving,at QC001,11
