Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC013,TO_CO_TFTU000007,PICK,driving,start,9
1,2024-11-14 10:27:10,SC013,TO_CO_TFTU000007,PICK,driving,start,9
2,2024-11-14 10:27:10,SC013,TO_CO_TFTU000007,PICK,working,at QC003,60
3,2024-11-14 10:27:19,SC013,TO_CO_TFTU000007,PICK,arriving,at QC003,9
4,2024-11-14 10:28:09,SC013,TO_CO_TFTU000007,PICK,finished,at QC003,0
5,2024-11-14 10:28:09,SC013,TO_CO_TFTU000007,DROP,driving,at QC003,74
6,2024-11-14 10:29:23,SC013,TO_CO_TFTU000007,DROP,arriving,at WS007.01,74
7,2024-11-14 10:29:23,SC013,TO_CO_TFTU000007,DROP,working,at WS007.01,60
8,2024-11-14 10:30:23,SC013,TO_CO_TFTU000007,DROP,finished,at WS007.01,0
9,2024-11-14 10:30:23,SC013,TO_CO_TFTU000046,PICK,driving,at WS007.01,74
10,2024-11-14 10:31:37,SC013,TO_CO_TFTU000046,PICK,arriving,at QC003,74
11,2024-11-14 10:31:37,SC013,TO_CO_TFTU000046,PICK,working,at QC003,60
12,2024-11-14 10:32:37,SC013,TO_CO_TFTU000046,PICK,finished,at QC003,0
13,2024-11-14 10:32:37,SC013,TO_CO_TFTU000046,DROP,driving,at QC003,33
14,2024-11-14 10:33:10,SC013,TO_CO_TFTU000046,DROP,arriving,at YARD001.36,33
15,2024-11-14 10:33:10,SC013,TO_CO_TFTU000046,DROP,working,at YARD001.36,60
16,2024-11-14 10:34:10,SC013,TO_CO_TFTU000046,DROP,finished,at YARD001.36,0
17,2024-11-14 10:34:10,SC013,TO_CO_TFTU000059,PICK,driving,at YARD001.36,36
18,2024-11-14 10:34:46,SC013,TO_CO_TFTU000059,PICK,arriving,at QC006,36
19,2024-11-14 10:34:47,SC013,TO_CO_TFTU000059,PICK,working,at QC006,61
20,2024-11-14 10:35:47,SC013,TO_CO_TFTU000059,PICK,finished,at QC006,0
21,2024-11-14 10:35:47,SC013,TO_CO_TFTU000059,DROP,driving,at QC006,18
22,2024-11-14 10:36:05,SC013,TO_CO_TFTU000059,DROP,arriving,at YARD001.58,18
23,2024-11-14 10:36:06,SC013,TO_CO_TFTU000059,DROP,working,at YARD001.58,61
24,2024-11-14 10:37:06,SC013,TO_CO_TFTU000059,DROP,finished,at YARD001.58,0
25,2024-11-14 10:37:06,SC013,TO_CO_TFTU000070,PICK,driving,at YARD001.58,15
26,2024-11-14 10:37:21,SC013,TO_CO_TFTU000070,PICK,arriving,at QC007,15
27,2024-11-14 10:37:21,SC013,TO_CO_TFTU000070,PICK,working,at QC007,60
28,2024-11-14 10:38:21,SC013,TO_CO_TFTU000070,PICK,finished,at QC007,0
29,2024-11-14 10:38:21,SC013,TO_CO_TFTU000070,DROP,driving,at QC007,54
30,2024-11-14 10:39:15,SC013,TO_CO_TFTU000070,DROP,arriving,at YARD001.36,54
31,2024-11-14 10:39:16,SC013,TO_CO_TFTU000070,DROP,working,at YARD001.36,61
32,2024-11-14 10:40:16,SC013,TO_CO_TFTU000070,DROP,finished,at YARD001.36,0
33,2024-11-14 10:40:16,SC013,TO_CO_TFTU000111,PICK,driving,at YARD001.36,15
34,2024-11-14 10:40:31,SC013,TO_CO_TFTU000111,PICK,arriving,at QC004,15
35,2024-11-14 10:40:31,SC013,TO_CO_TFTU000111,PICK,working,at QC004,60
36,2024-11-14 10:41:31,SC013,TO_CO_TFTU000111,PICK,finished,at QC004,0
37,2024-11-14 10:41:31,SC013,TO_CO_TFTU000111,DROP,driving,at QC004,9
38,2024-11-14 10:41:40,SC013,TO_CO_TFTU000111,DROP,arriving,at YARD001.31,9
39,2024-11-14 10:41:41,SC013,TO_CO_TFTU000111,DROP,working,at YARD001.31,61
40,2024-11-14 10:42:41,SC013,TO_CO_TFTU000111,DROP,finished,at YARD001.31,0
41,2024-11-14 10:42:41,SC013,TO_CO_TFTU000122,PICK,driving,at YARD001.31,24
42,2024-11-14 10:43:05,SC013,TO_CO_TFTU000122,PICK,arriving,at QC003,24
43,2024-11-14 10:43:24,SC013,TO_CO_TFTU000122,PICK,waited,at QC003,19
44,2024-11-14 10:43:24,SC013,TO_CO_TFTU000122,PICK,working,at QC003,60
45,2024-11-14 10:44:24,SC013,TO_CO_TFTU000122,PICK,finished,at QC003,0
46,2024-11-14 10:44:24,SC013,TO_CO_TFTU000122,DROP,driving,at QC003,65
47,2024-11-14 10:45:29,SC013,TO_CO_TFTU000122,DROP,arriving,at WS004.01,65
48,2024-11-14 10:45:40,SC013,TO_CO_TFTU000122,DROP,waited,at WS004.01,11
49,2024-11-14 10:45:40,SC013,TO_CO_TFTU000122,DROP,working,at WS004.01,60
50,2024-11-14 10:46:40,SC013,TO_CO_TFTU000122,DROP,finished,at WS004.01,0
51,2024-11-14 10:46:40,SC013,TO_CO_TFTU000025,PICK,driving,at WS004.01,70
52,2024-11-14 10:47:50,SC013,TO_CO_TFTU000025,PICK,arriving,at QC006,70
53,2024-11-14 10:48:17,SC013,TO_CO_TFTU000025,PICK,waited,at QC006,27
54,2024-11-14 10:48:17,SC013,TO_CO_TFTU000025,PICK,working,at QC006,60
55,2024-11-14 10:49:18,SC013,TO_CO_TFTU000025,PICK,finished,at QC006,0
56,2024-11-14 10:49:18,SC013,TO_CO_TFTU000025,DROP,driving,at QC006,124
57,2024-11-14 10:51:21,SC013,TO_CO_TFTU000025,DROP,working,at WS012.01,60
58,2024-11-14 10:51:22,SC013,TO_CO_TFTU000025,DROP,arriving,at WS012.01,124
59,2024-11-14 10:52:21,SC013,TO_CO_TFTU000025,DROP,finished,at WS012.01,0
60,2024-11-14 10:52:21,SC013,TO_CO_TFTU000021,PICK,driving,at WS012.01,142
61,2024-11-14 10:54:43,SC013,TO_CO_TFTU000021,PICK,arriving,at QC007,142
62,2024-11-14 10:54:43,SC013,TO_CO_TFTU000021,PICK,working,at QC007,60
63,2024-11-14 10:55:43,SC013,TO_CO_TFTU000021,PICK,finished,at QC007,0
64,2024-11-14 10:55:43,SC013,TO_CO_TFTU000021,DROP,driving,at QC007,160
65,2024-11-14 10:58:23,SC013,TO_CO_TFTU000021,DROP,arriving,at WS014.01,160
66,2024-11-14 10:58:23,SC013,TO_CO_TFTU000021,DROP,working,at WS014.01,60
67,2024-11-14 10:59:23,SC013,TO_CO_TFTU000021,DROP,finished,at WS014.01,0
68,2024-11-14 10:59:23,SC013,TO_CO_TFTU000092,PICK,driving,at WS014.01,142
69,2024-11-14 11:01:45,SC013,TO_CO_TFTU000092,PICK,arriving,at QC006,142
70,2024-11-14 11:01:56,SC013,TO_CO_TFTU000092,PICK,waited,at QC006,11
71,2024-11-14 11:01:56,SC013,TO_CO_TFTU000092,PICK,working,at QC006,60
72,2024-11-14 11:02:57,SC013,TO_CO_TFTU000092,PICK,finished,at QC006,0
73,2024-11-14 11:02:57,SC013,TO_CO_TFTU000092,DROP,driving,at QC006,142
74,2024-11-14 11:05:18,SC013,TO_CO_TFTU000092,DROP,working,at WS014.01,60
75,2024-11-14 11:05:19,SC013,TO_CO_TFTU000092,DROP,arriving,at WS014.01,142
76,2024-11-14 11:06:18,SC013,TO_CO_TFTU000092,DROP,finished,at WS014.01,0
77,2024-11-14 11:06:18,SC013,TO_CO_TFTU000084,PICK,driving,at WS014.01,160
78,2024-11-14 11:08:58,SC013,TO_CO_TFTU000084,PICK,arriving,at QC007,160
79,2024-11-14 11:08:58,SC013,TO_CO_TFTU000084,PICK,working,at QC007,60
80,2024-11-14 11:09:58,SC013,TO_CO_TFTU000084,PICK,finished,at QC007,0
81,2024-11-14 11:09:58,SC013,TO_CO_TFTU000084,DROP,driving,at QC007,160
82,2024-11-14 11:12:38,SC013,TO_CO_TFTU000084,DROP,arriving,at WS014.01,160
83,2024-11-14 11:12:38,SC013,TO_CO_TFTU000084,DROP,working,at WS014.01,60
84,2024-11-14 11:13:38,SC013,TO_CO_TFTU000084,DROP,finished,at WS014.01,0
85,2024-11-14 11:13:38,SC013,TO_CO_TFTU000241,PICK,driving,at WS014.01,119
86,2024-11-14 11:15:37,SC013,TO_CO_TFTU000241,PICK,arriving,at QC004,119
87,2024-11-14 11:15:37,SC013,TO_CO_TFTU000241,PICK,working,at QC004,60
88,2024-11-14 11:16:37,SC013,TO_CO_TFTU000241,PICK,finished,at QC004,0
89,2024-11-14 11:16:37,SC013,TO_CO_TFTU000241,DROP,driving,at QC004,74
90,2024-11-14 11:17:51,SC013,TO_CO_TFTU000241,DROP,arriving,at WS009.01,74
91,2024-11-14 11:17:51,SC013,TO_CO_TFTU000241,DROP,working,at WS009.01,60
92,2024-11-14 11:18:51,SC013,TO_CO_TFTU000241,DROP,finished,at WS009.01,0
93,2024-11-14 11:18:51,SC013,TO_CO_TFTU000060,PICK,driving,at WS009.01,115
94,2024-11-14 11:20:46,SC013,TO_CO_TFTU000060,PICK,arriving,at QC007,115
95,2024-11-14 11:20:46,SC013,TO_CO_TFTU000060,PICK,working,at QC007,60
96,2024-11-14 11:21:46,SC013,TO_CO_TFTU000060,PICK,finished,at QC007,0
97,2024-11-14 11:21:46,SC013,TO_CO_TFTU000060,DROP,driving,at QC007,178
98,2024-11-14 11:24:44,SC013,TO_CO_TFTU000060,DROP,arriving,at WS016.01,178
99,2024-11-14 11:24:44,SC013,TO_CO_TFTU000060,DROP,working,at WS016.01,60
100,2024-11-14 11:25:44,SC013,TO_CO_TFTU000060,DROP,finished,at WS016.01,0
101,2024-11-14 11:25:44,SC013,TO_CO_TFTU000219,PICK,driving,at WS016.01,178
102,2024-11-14 11:28:42,SC013,TO_CO_TFTU000219,PICK,arriving,at QC007,178
103,2024-11-14 11:28:42,SC013,TO_CO_TFTU000219,PICK,working,at QC007,60
104,2024-11-14 11:29:42,SC013,TO_CO_TFTU000219,PICK,finished,at QC007,0
105,2024-11-14 11:29:42,SC013,TO_CO_TFTU000219,DROP,driving,at QC007,178
106,2024-11-14 11:32:40,SC013,TO_CO_TFTU000219,DROP,arriving,at WS016.01,178
107,2024-11-14 11:32:40,SC013,TO_CO_TFTU000219,DROP,working,at WS016.01,60
108,2024-11-14 11:33:40,SC013,TO_CO_TFTU000219,DROP,finished,at WS016.01,0
