Timestamp,SC,TO,Action,Activity,Location,Duration
2024-11-14 10:28:38,SC017,TO_CO_TFTU000016,PICK,finished,at QC005,0
2024-11-14 10:28:38,SC017,TO_CO_TFTU000016,DROP,driving,to WS010.01,88
2024-11-14 10:28:38,SC008,TO_CO_TFTU000011,PICK,waited,at QC005,44
2024-11-14 10:28:38,SC008,TO_CO_TFTU000011,PICK,working,at QC005,60
2024-11-14 10:28:39,SC009,TO_CO_TFTU000014,PICK,arriving,at QC007,89
2024-11-14 10:28:51,SC020,TO_CO_TFTU000004,PICK,finished,at QC006,0
2024-11-14 10:28:51,SC020,TO_CO_TFTU000004,DROP,driving,to YARD001.19,67
2024-11-14 10:28:51,SC015,TO_CO_TFTU000012,PICK,waited,at QC006,51
2024-11-14 10:28:51,SC015,TO_CO_TFTU000012,PICK,working,at QC006,60
2024-11-14 10:28:58,SC016,TO_CO_TFTU000003,PICK,finished,at QC006,0
2024-11-14 10:28:58,SC016,TO_CO_TFTU000003,DROP,driving,to WS015.01,151
2024-11-14 10:28:58,SC007,TO_CO_TFTU000013,PICK,waited,at QC006,44
2024-11-14 10:28:58,SC007,TO_CO_TFTU000013,PICK,working,at QC006,60
2024-11-14 10:29:07,SC012,TO_CO_TFTU000006,PICK,finished,at QC003,0
2024-11-14 10:29:07,SC012,TO_CO_TFTU000006,DROP,driving,to YARD001.36,33
2024-11-14 10:29:07,SC005,TO_CO_TFTU000019,PICK,waited,at QC003,103
2024-11-14 10:29:07,SC005,TO_CO_TFTU000019,PICK,working,at QC003,60
2024-11-14 10:29:09,SC010,TO_CO_TFTU000008,PICK,finished,at QC003,0
2024-11-14 10:29:09,SC010,TO_CO_TFTU000008,DROP,driving,to WS007.01,74
2024-11-14 10:29:09,SC003,TO_CO_TFTU000020,PICK,waited,at QC003,102
2024-11-14 10:29:09,SC003,TO_CO_TFTU000020,PICK,working,at QC003,60
2024-11-14 10:29:12,SC018,TO_CO_TFTU000009,PICK,finished,at QC007,0
2024-11-14 10:29:12,SC018,TO_CO_TFTU000009,DROP,driving,to WS016.01,178
2024-11-14 10:29:21,SC014,TO_CO_TFTU000005,DROP,arriving,at YARD001.59,74
2024-11-14 10:29:22,SC014,TO_CO_TFTU000005,DROP,working,at YARD001.59,61
2024-11-14 10:29:23,SC013,TO_CO_TFTU000007,DROP,arriving,at WS007.01,74
2024-11-14 10:29:23,SC013,TO_CO_TFTU000007,DROP,working,at WS007.01,60
2024-11-14 10:29:28,SC009,TO_CO_TFTU000014,PICK,finished,at QC007,0
2024-11-14 10:29:28,SC009,TO_CO_TFTU000014,DROP,driving,to WS015.01,169
2024-11-14 10:29:34,SC011,TO_CO_TFTU000017,PICK,finished,at QC005,0
2024-11-14 10:29:34,SC011,TO_CO_TFTU000017,DROP,driving,to WS007.01,61
2024-11-14 10:29:34,SC006,TO_CO_TFTU000010,PICK,waited,at QC005,96
2024-11-14 10:29:34,SC006,TO_CO_TFTU000010,PICK,working,at QC005,60
2024-11-14 10:29:38,SC008,TO_CO_TFTU000011,PICK,finished,at QC005,0
2024-11-14 10:29:38,SC008,TO_CO_TFTU000011,DROP,driving,to WS013.01,115
2024-11-14 10:29:39,SC004,TO_CO_TFTU000001,DROP,arriving,at WS007.01,92
2024-11-14 10:29:39,SC004,TO_CO_TFTU000001,DROP,working,at WS007.01,60
2024-11-14 10:29:40,SC012,TO_CO_TFTU000006,DROP,arriving,at YARD001.36,33
2024-11-14 10:29:40,SC012,TO_CO_TFTU000006,DROP,working,at YARD001.36,60
2024-11-14 10:29:51,SC015,TO_CO_TFTU000012,PICK,finished,at QC006,0
2024-11-14 10:29:51,SC015,TO_CO_TFTU000012,DROP,driving,to WS002.01,52
2024-11-14 10:29:58,SC007,TO_CO_TFTU000013,PICK,finished,at QC006,0
