Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC004,TO_CO_TFTU000001,PICK,driving,start,8
1,2024-11-14 10:27:10,SC004,TO_CO_TFTU000001,PICK,driving,start,8
2,2024-11-14 10:27:10,SC004,TO_CO_TFTU000001,PICK,working,at QC001,60
3,2024-11-14 10:27:18,SC004,TO_CO_TFTU000001,PICK,arriving,at QC001,8
4,2024-11-14 10:28:07,SC004,TO_CO_TFTU000001,PICK,finished,at QC001,0
5,2024-11-14 10:28:07,SC004,TO_CO_TFTU000001,DROP,driving,at QC001,92
6,2024-11-14 10:29:39,SC004,TO_CO_TFTU000001,DROP,arriving,at WS007.01,92
7,2024-11-14 10:29:39,SC004,TO_CO_TFTU000001,DROP,working,at WS007.01,60
8,2024-11-14 10:30:39,SC004,TO_CO_TFTU000001,DROP,finished,at WS007.01,0
9,2024-11-14 10:30:39,SC004,TO_CO_TFTU000047,PICK,driving,at WS007.01,61
10,2024-11-14 10:31:40,SC004,TO_CO_TFTU000047,PICK,arriving,at QC005,61
11,2024-11-14 10:31:40,SC004,TO_CO_TFTU000047,PICK,working,at QC005,60
12,2024-11-14 10:32:40,SC004,TO_CO_TFTU000047,PICK,finished,at QC005,0
13,2024-11-14 10:32:40,SC004,TO_CO_TFTU000047,DROP,driving,at QC005,43
14,2024-11-14 10:33:23,SC004,TO_CO_TFTU000047,DROP,arriving,at WS003.01,43
15,2024-11-14 10:33:23,SC004,TO_CO_TFTU000047,DROP,working,at WS003.01,60
16,2024-11-14 10:34:23,SC004,TO_CO_TFTU000047,DROP,finished,at WS003.01,0
17,2024-11-14 10:34:23,SC004,TO_CO_TFTU000072,PICK,driving,at WS003.01,43
18,2024-11-14 10:35:06,SC004,TO_CO_TFTU000072,PICK,arriving,at QC005,43
19,2024-11-14 10:35:47,SC004,TO_CO_TFTU000072,PICK,waited,at QC005,41
20,2024-11-14 10:35:47,SC004,TO_CO_TFTU000072,PICK,working,at QC005,60
21,2024-11-14 10:36:48,SC004,TO_CO_TFTU000072,PICK,finished,at QC005,0
22,2024-11-14 10:36:48,SC004,TO_CO_TFTU000072,DROP,driving,at QC005,58
23,2024-11-14 10:37:46,SC004,TO_CO_TFTU000072,DROP,arriving,at YARD001.14,58
24,2024-11-14 10:37:46,SC004,TO_CO_TFTU000072,DROP,working,at YARD001.14,60
25,2024-11-14 10:38:46,SC004,TO_CO_TFTU000072,DROP,finished,at YARD001.14,0
26,2024-11-14 10:38:46,SC004,TO_CO_TFTU000062,PICK,driving,at YARD001.14,11
27,2024-11-14 10:38:57,SC004,TO_CO_TFTU000062,PICK,arriving,at QC001,11
28,2024-11-14 10:38:57,SC004,TO_CO_TFTU000062,PICK,working,at QC001,60
29,2024-11-14 10:39:57,SC004,TO_CO_TFTU000062,PICK,finished,at QC001,0
30,2024-11-14 10:39:57,SC004,TO_CO_TFTU000062,DROP,driving,at QC001,65
31,2024-11-14 10:41:02,SC004,TO_CO_TFTU000062,DROP,arriving,at WS002.01,65
32,2024-11-14 10:41:02,SC004,TO_CO_TFTU000062,DROP,working,at WS002.01,60
33,2024-11-14 10:42:02,SC004,TO_CO_TFTU000062,DROP,finished,at WS002.01,0
34,2024-11-14 10:42:02,SC004,TO_CO_TFTU000116,PICK,driving,at WS002.01,34
35,2024-11-14 10:42:36,SC004,TO_CO_TFTU000116,PICK,arriving,at QC005,34
36,2024-11-14 10:43:51,SC004,TO_CO_TFTU000116,PICK,waited,at QC005,75
37,2024-11-14 10:43:51,SC004,TO_CO_TFTU000116,PICK,working,at QC005,60
38,2024-11-14 10:44:51,SC004,TO_CO_TFTU000116,PICK,finished,at QC005,0
39,2024-11-14 10:44:51,SC004,TO_CO_TFTU000116,DROP,driving,at QC005,34
40,2024-11-14 10:45:25,SC004,TO_CO_TFTU000116,DROP,arriving,at WS002.01,34
41,2024-11-14 10:45:25,SC004,TO_CO_TFTU000116,DROP,working,at WS002.01,60
42,2024-11-14 10:46:25,SC004,TO_CO_TFTU000116,DROP,finished,at WS002.01,0
43,2024-11-14 10:46:25,SC004,TO_CO_TFTU000142,PICK,driving,at WS002.01,52
44,2024-11-14 10:47:17,SC004,TO_CO_TFTU000142,PICK,arriving,at QC006,52
45,2024-11-14 10:47:17,SC004,TO_CO_TFTU000142,PICK,working,at QC006,60
46,2024-11-14 10:48:17,SC004,TO_CO_TFTU000142,PICK,finished,at QC006,0
47,2024-11-14 10:48:17,SC004,TO_CO_TFTU000142,DROP,driving,at QC006,11
48,2024-11-14 10:48:28,SC004,TO_CO_TFTU000142,DROP,arriving,at YARD001.50,11
49,2024-11-14 10:48:29,SC004,TO_CO_TFTU000142,DROP,working,at YARD001.50,61
50,2024-11-14 10:49:29,SC004,TO_CO_TFTU000142,DROP,finished,at YARD001.50,0
51,2024-11-14 10:49:29,SC004,TO_CO_TFTU000119,PICK,driving,at YARD001.50,11
52,2024-11-14 10:49:40,SC004,TO_CO_TFTU000119,PICK,arriving,at QC006,11
53,2024-11-14 10:49:41,SC004,TO_CO_TFTU000119,PICK,working,at QC006,61
54,2024-11-14 10:50:41,SC004,TO_CO_TFTU000119,PICK,finished,at QC006,0
55,2024-11-14 10:50:41,SC004,TO_CO_TFTU000119,DROP,driving,at QC006,88
56,2024-11-14 10:52:09,SC004,TO_CO_TFTU000119,DROP,arriving,at WS008.01,88
57,2024-11-14 10:52:09,SC004,TO_CO_TFTU000119,DROP,working,at WS008.01,60
58,2024-11-14 10:53:09,SC004,TO_CO_TFTU000119,DROP,finished,at WS008.01,0
59,2024-11-14 10:53:09,SC004,TO_CO_TFTU000048,PICK,driving,at WS008.01,88
60,2024-11-14 10:54:37,SC004,TO_CO_TFTU000048,PICK,arriving,at QC006,88
61,2024-11-14 10:54:38,SC004,TO_CO_TFTU000048,PICK,working,at QC006,61
62,2024-11-14 10:55:40,SC004,TO_CO_TFTU000048,PICK,finished,at QC006,0
63,2024-11-14 10:55:40,SC004,TO_CO_TFTU000048,DROP,driving,at QC006,142
64,2024-11-14 10:58:01,SC004,TO_CO_TFTU000048,DROP,working,at WS014.01,60
65,2024-11-14 10:58:02,SC004,TO_CO_TFTU000048,DROP,arriving,at WS014.01,142
66,2024-11-14 10:59:01,SC004,TO_CO_TFTU000048,DROP,finished,at WS014.01,0
67,2024-11-14 10:59:01,SC004,TO_CO_TFTU000118,PICK,driving,at WS014.01,142
68,2024-11-14 11:01:23,SC004,TO_CO_TFTU000118,PICK,arriving,at QC006,142
69,2024-11-14 11:01:23,SC004,TO_CO_TFTU000118,PICK,working,at QC006,60
70,2024-11-14 11:02:23,SC004,TO_CO_TFTU000118,PICK,finished,at QC006,0
71,2024-11-14 11:02:23,SC004,TO_CO_TFTU000118,DROP,driving,at QC006,142
72,2024-11-14 11:04:45,SC004,TO_CO_TFTU000118,DROP,arriving,at WS014.01,142
73,2024-11-14 11:04:45,SC004,TO_CO_TFTU000118,DROP,working,at WS014.01,60
74,2024-11-14 11:05:45,SC004,TO_CO_TFTU000118,DROP,finished,at WS014.01,0
75,2024-11-14 11:05:45,SC004,TO_CO_TFTU000171,PICK,driving,at WS014.01,142
76,2024-11-14 11:08:07,SC004,TO_CO_TFTU000171,PICK,arriving,at QC006,142
77,2024-11-14 11:08:07,SC004,TO_CO_TFTU000171,PICK,working,at QC006,60
78,2024-11-14 11:09:07,SC004,TO_CO_TFTU000171,PICK,finished,at QC006,0
79,2024-11-14 11:09:07,SC004,TO_CO_TFTU000171,DROP,driving,at QC006,133
80,2024-11-14 11:11:20,SC004,TO_CO_TFTU000171,DROP,arriving,at WS013.01,133
81,2024-11-14 11:11:20,SC004,TO_CO_TFTU000171,DROP,working,at WS013.01,60
82,2024-11-14 11:12:20,SC004,TO_CO_TFTU000171,DROP,finished,at WS013.01,0
83,2024-11-14 11:12:20,SC004,TO_CO_TFTU000234,PICK,driving,at WS013.01,146
84,2024-11-14 11:14:46,SC004,TO_CO_TFTU000234,PICK,arriving,at QC001,146
85,2024-11-14 11:14:46,SC004,TO_CO_TFTU000234,PICK,working,at QC001,60
86,2024-11-14 11:15:46,SC004,TO_CO_TFTU000234,PICK,finished,at QC001,0
87,2024-11-14 11:15:46,SC004,TO_CO_TFTU000234,DROP,driving,at QC001,74
88,2024-11-14 11:17:00,SC004,TO_CO_TFTU000234,DROP,arriving,at WS003.01,74
89,2024-11-14 11:17:00,SC004,TO_CO_TFTU000234,DROP,working,at WS003.01,60
90,2024-11-14 11:18:00,SC004,TO_CO_TFTU000234,DROP,finished,at WS003.01,0
91,2024-11-14 11:18:00,SC004,TO_CO_TFTU000251,PICK,driving,at WS003.01,43
92,2024-11-14 11:18:43,SC004,TO_CO_TFTU000251,PICK,arriving,at QC005,43
93,2024-11-14 11:19:11,SC004,TO_CO_TFTU000251,PICK,waited,at QC005,28
94,2024-11-14 11:19:11,SC004,TO_CO_TFTU000251,PICK,working,at QC005,60
95,2024-11-14 11:20:12,SC004,TO_CO_TFTU000251,PICK,finished,at QC005,0
96,2024-11-14 11:20:12,SC004,TO_CO_TFTU000251,DROP,driving,at QC005,38
97,2024-11-14 11:20:50,SC004,TO_CO_TFTU000251,DROP,arriving,at YARD001.25,38
98,2024-11-14 11:20:50,SC004,TO_CO_TFTU000251,DROP,working,at YARD001.25,60
99,2024-11-14 11:21:50,SC004,TO_CO_TFTU000251,DROP,finished,at YARD001.25,0
100,2024-11-14 11:21:50,SC004,TO_CO_TFTU000254,PICK,driving,at YARD001.25,20
101,2024-11-14 11:22:10,SC004,TO_CO_TFTU000254,PICK,arriving,at QC004,20
102,2024-11-14 11:22:10,SC004,TO_CO_TFTU000254,PICK,working,at QC004,60
103,2024-11-14 11:23:10,SC004,TO_CO_TFTU000254,PICK,finished,at QC004,0
104,2024-11-14 11:23:10,SC004,TO_CO_TFTU000254,DROP,driving,at QC004,27
105,2024-11-14 11:23:37,SC004,TO_CO_TFTU000254,DROP,arriving,at YARD001.21,27
106,2024-11-14 11:23:38,SC004,TO_CO_TFTU000254,DROP,working,at YARD001.21,61
107,2024-11-14 11:24:38,SC004,TO_CO_TFTU000254,DROP,finished,at YARD001.21,0
108,2024-11-14 11:24:38,SC004,TO_CO_TFTU000271,PICK,driving,at YARD001.21,24
109,2024-11-14 11:25:02,SC004,TO_CO_TFTU000271,PICK,arriving,at QC001,24
110,2024-11-14 11:25:02,SC004,TO_CO_TFTU000271,PICK,working,at QC001,60
111,2024-11-14 11:26:02,SC004,TO_CO_TFTU000271,PICK,finished,at QC001,0
112,2024-11-14 11:26:02,SC004,TO_CO_TFTU000271,DROP,driving,at QC001,65
113,2024-11-14 11:27:07,SC004,TO_CO_TFTU000271,DROP,arriving,at WS002.01,65
114,2024-11-14 11:27:07,SC004,TO_CO_TFTU000271,DROP,working,at WS002.01,60
115,2024-11-14 11:28:07,SC004,TO_CO_TFTU000271,DROP,finished,at WS002.01,0
116,2024-11-14 11:28:07,SC004,TO_CO_TFTU000198,PICK,driving,at WS002.01,70
117,2024-11-14 11:29:17,SC004,TO_CO_TFTU000198,PICK,arriving,at QC007,70
118,2024-11-14 11:29:17,SC004,TO_CO_TFTU000198,PICK,working,at QC007,60
119,2024-11-14 11:30:17,SC004,TO_CO_TFTU000198,PICK,finished,at QC007,0
120,2024-11-14 11:30:17,SC004,TO_CO_TFTU000198,DROP,driving,at QC007,187
121,2024-11-14 11:33:24,SC004,TO_CO_TFTU000198,DROP,arriving,at WS017.01,187
122,2024-11-14 11:33:24,SC004,TO_CO_TFTU000198,DROP,working,at WS017.01,60
123,2024-11-14 11:34:24,SC004,TO_CO_TFTU000198,DROP,finished,at WS017.01,0
