Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC020,TO_CO_TFTU000004,PICK,driving,start,51
1,2024-11-14 10:27:10,SC020,TO_CO_TFTU000004,PICK,driving,start,51
2,2024-11-14 10:27:51,SC020,TO_CO_TFTU000004,PICK,working,at QC006,60
3,2024-11-14 10:28:01,SC020,TO_CO_TFTU000004,PICK,arriving,at QC006,51
4,2024-11-14 10:28:51,SC020,TO_CO_TFTU000004,PICK,finished,at QC006,0
5,2024-11-14 10:28:51,SC020,TO_CO_TFTU000004,DROP,driving,at QC006,67
6,2024-11-14 10:29:58,SC020,TO_CO_TFTU000004,DROP,arriving,at YARD001.19,67
7,2024-11-14 10:29:58,SC020,TO_CO_TFTU000004,DROP,working,at YARD001.19,60
8,2024-11-14 10:30:58,SC020,TO_CO_TFTU000004,DROP,finished,at YARD001.19,0
9,2024-11-14 10:30:58,SC020,TO_CO_TFTU000034,PICK,driving,at YARD001.19,13
10,2024-11-14 10:31:11,SC020,TO_CO_TFTU000034,PICK,arriving,at QC003,13
11,2024-11-14 10:31:11,SC020,TO_CO_TFTU000034,PICK,working,at QC003,60
12,2024-11-14 10:32:11,SC020,TO_CO_TFTU000034,PICK,finished,at QC003,0
13,2024-11-14 10:32:11,SC020,TO_CO_TFTU000034,DROP,driving,at QC003,47
14,2024-11-14 10:32:58,SC020,TO_CO_TFTU000034,DROP,arriving,at WS002.01,47
15,2024-11-14 10:32:58,SC020,TO_CO_TFTU000034,DROP,working,at WS002.01,60
16,2024-11-14 10:33:58,SC020,TO_CO_TFTU000034,DROP,finished,at WS002.01,0
17,2024-11-14 10:33:58,SC020,TO_CO_TFTU000066,PICK,driving,at WS002.01,29
18,2024-11-14 10:34:27,SC020,TO_CO_TFTU000066,PICK,arriving,at QC004,29
19,2024-11-14 10:34:27,SC020,TO_CO_TFTU000066,PICK,working,at QC004,60
20,2024-11-14 10:35:27,SC020,TO_CO_TFTU000066,PICK,finished,at QC004,0
21,2024-11-14 10:35:27,SC020,TO_CO_TFTU000066,DROP,driving,at QC004,9
22,2024-11-14 10:35:36,SC020,TO_CO_TFTU000066,DROP,arriving,at YARD001.31,9
23,2024-11-14 10:35:36,SC020,TO_CO_TFTU000066,DROP,working,at YARD001.31,60
24,2024-11-14 10:36:36,SC020,TO_CO_TFTU000066,DROP,finished,at YARD001.31,0
25,2024-11-14 10:36:36,SC020,TO_CO_TFTU000031,PICK,driving,at YARD001.31,9
26,2024-11-14 10:36:45,SC020,TO_CO_TFTU000031,PICK,arriving,at QC004,9
27,2024-11-14 10:36:46,SC020,TO_CO_TFTU000031,PICK,working,at QC004,61
28,2024-11-14 10:37:46,SC020,TO_CO_TFTU000031,PICK,finished,at QC004,0
29,2024-11-14 10:37:46,SC020,TO_CO_TFTU000031,DROP,driving,at QC004,101
30,2024-11-14 10:39:27,SC020,TO_CO_TFTU000031,DROP,arriving,at WS012.01,101
31,2024-11-14 10:39:27,SC020,TO_CO_TFTU000031,DROP,working,at WS012.01,60
32,2024-11-14 10:40:27,SC020,TO_CO_TFTU000031,DROP,finished,at WS012.01,0
33,2024-11-14 10:40:27,SC020,TO_CO_TFTU000125,PICK,driving,at WS012.01,106
34,2024-11-14 10:42:13,SC020,TO_CO_TFTU000125,PICK,arriving,at QC005,106
35,2024-11-14 10:43:21,SC020,TO_CO_TFTU000125,PICK,waited,at QC005,68
36,2024-11-14 10:43:21,SC020,TO_CO_TFTU000125,PICK,working,at QC005,60
37,2024-11-14 10:44:22,SC020,TO_CO_TFTU000125,PICK,finished,at QC005,0
38,2024-11-14 10:44:22,SC020,TO_CO_TFTU000125,DROP,driving,at QC005,25
39,2024-11-14 10:44:46,SC020,TO_CO_TFTU000125,DROP,working,at WS001.01,60
40,2024-11-14 10:44:47,SC020,TO_CO_TFTU000125,DROP,arriving,at WS001.01,25
41,2024-11-14 10:45:46,SC020,TO_CO_TFTU000125,DROP,finished,at WS001.01,0
42,2024-11-14 10:45:46,SC020,TO_CO_TFTU000137,PICK,driving,at WS001.01,38
43,2024-11-14 10:46:24,SC020,TO_CO_TFTU000137,PICK,arriving,at QC003,38
44,2024-11-14 10:46:24,SC020,TO_CO_TFTU000137,PICK,working,at QC003,60
45,2024-11-14 10:47:24,SC020,TO_CO_TFTU000137,PICK,finished,at QC003,0
46,2024-11-14 10:47:24,SC020,TO_CO_TFTU000137,DROP,driving,at QC003,20
47,2024-11-14 10:47:44,SC020,TO_CO_TFTU000137,DROP,arriving,at YARD001.29,20
48,2024-11-14 10:47:44,SC020,TO_CO_TFTU000137,DROP,working,at YARD001.29,60
49,2024-11-14 10:48:44,SC020,TO_CO_TFTU000137,DROP,finished,at YARD001.29,0
50,2024-11-14 10:48:44,SC020,TO_CO_TFTU000146,PICK,driving,at YARD001.29,20
51,2024-11-14 10:49:04,SC020,TO_CO_TFTU000146,PICK,arriving,at QC003,20
52,2024-11-14 10:49:05,SC020,TO_CO_TFTU000146,PICK,working,at QC003,61
53,2024-11-14 10:50:05,SC020,TO_CO_TFTU000146,PICK,finished,at QC003,0
54,2024-11-14 10:50:05,SC020,TO_CO_TFTU000146,DROP,driving,at QC003,74
55,2024-11-14 10:51:19,SC020,TO_CO_TFTU000146,DROP,arriving,at WS007.01,74
56,2024-11-14 10:51:19,SC020,TO_CO_TFTU000146,DROP,working,at WS007.01,60
57,2024-11-14 10:52:19,SC020,TO_CO_TFTU000146,DROP,finished,at WS007.01,0
58,2024-11-14 10:52:19,SC020,TO_CO_TFTU000143,PICK,driving,at WS007.01,79
59,2024-11-14 10:53:38,SC020,TO_CO_TFTU000143,PICK,arriving,at QC006,79
60,2024-11-14 10:53:38,SC020,TO_CO_TFTU000143,PICK,working,at QC006,60
61,2024-11-14 10:54:38,SC020,TO_CO_TFTU000143,PICK,finished,at QC006,0
62,2024-11-14 10:54:38,SC020,TO_CO_TFTU000143,DROP,driving,at QC006,106
63,2024-11-14 10:56:24,SC020,TO_CO_TFTU000143,DROP,arriving,at WS010.01,106
64,2024-11-14 10:56:24,SC020,TO_CO_TFTU000143,DROP,working,at WS010.01,60
65,2024-11-14 10:57:24,SC020,TO_CO_TFTU000143,DROP,finished,at WS010.01,0
66,2024-11-14 10:57:24,SC020,TO_CO_TFTU000184,PICK,driving,at WS010.01,101
67,2024-11-14 10:59:05,SC020,TO_CO_TFTU000184,PICK,arriving,at QC003,101
68,2024-11-14 10:59:05,SC020,TO_CO_TFTU000184,PICK,working,at QC003,60
69,2024-11-14 11:00:05,SC020,TO_CO_TFTU000184,PICK,finished,at QC003,0
70,2024-11-14 11:00:05,SC020,TO_CO_TFTU000184,DROP,driving,at QC003,56
71,2024-11-14 11:01:01,SC020,TO_CO_TFTU000184,DROP,arriving,at WS003.01,56
72,2024-11-14 11:01:01,SC020,TO_CO_TFTU000184,DROP,working,at WS003.01,60
73,2024-11-14 11:02:01,SC020,TO_CO_TFTU000184,DROP,finished,at WS003.01,0
74,2024-11-14 11:02:01,SC020,TO_CO_TFTU000189,PICK,driving,at WS003.01,56
75,2024-11-14 11:02:57,SC020,TO_CO_TFTU000189,PICK,arriving,at QC003,56
76,2024-11-14 11:02:57,SC020,TO_CO_TFTU000189,PICK,working,at QC003,60
77,2024-11-14 11:03:57,SC020,TO_CO_TFTU000189,PICK,finished,at QC003,0
78,2024-11-14 11:03:57,SC020,TO_CO_TFTU000189,DROP,driving,at QC003,47
79,2024-11-14 11:04:44,SC020,TO_CO_TFTU000189,DROP,arriving,at WS002.01,47
80,2024-11-14 11:04:44,SC020,TO_CO_TFTU000189,DROP,working,at WS002.01,60
81,2024-11-14 11:05:44,SC020,TO_CO_TFTU000189,DROP,finished,at WS002.01,0
82,2024-11-14 11:05:44,SC020,TO_CO_TFTU000190,PICK,driving,at WS002.01,70
83,2024-11-14 11:06:54,SC020,TO_CO_TFTU000190,PICK,arriving,at QC007,70
