Row,Timestamp,SC,TO,Action,Activity,Location,Duration
0,2024-11-14 10:27:10,SC008,TO_CO_TFTU000011,PICK,driving,start,54
1,2024-11-14 10:27:10,SC008,TO_CO_TFTU000011,PICK,driving,start,54
2,2024-11-14 10:28:04,SC008,TO_CO_TFTU000011,PICK,arriving,at QC005,54
3,2024-11-14 10:28:38,SC008,TO_CO_TFTU000011,PICK,waited,at QC005,44
4,2024-11-14 10:28:38,SC008,TO_CO_TFTU000011,PICK,working,at QC005,60
5,2024-11-14 10:29:38,SC008,TO_CO_TFTU000011,PICK,finished,at QC005,0
6,2024-11-14 10:29:38,SC008,TO_CO_TFTU000011,DROP,driving,at QC005,115
7,2024-11-14 10:31:32,SC008,TO_CO_TFTU000011,DROP,working,at WS013.01,60
8,2024-11-14 10:31:33,SC008,TO_CO_TFTU000011,DROP,arriving,at WS013.01,115
9,2024-11-14 10:32:32,SC008,TO_CO_TFTU000011,DROP,finished,at WS013.01,0
10,2024-11-14 10:32:32,SC008,TO_CO_TFTU000063,PICK,driving,at WS013.01,128
11,2024-11-14 10:34:40,SC008,TO_CO_TFTU000063,PICK,arriving,at QC003,128
12,2024-11-14 10:34:40,SC008,TO_CO_TFTU000063,PICK,working,at QC003,60
13,2024-11-14 10:35:40,SC008,TO_CO_TFTU000063,PICK,finished,at QC003,0
14,2024-11-14 10:35:40,SC008,TO_CO_TFTU000063,DROP,driving,at QC003,29
15,2024-11-14 10:36:09,SC008,TO_CO_TFTU000063,DROP,arriving,at YARD001.10,29
16,2024-11-14 10:36:10,SC008,TO_CO_TFTU000063,DROP,working,at YARD001.10,61
17,2024-11-14 10:37:10,SC008,TO_CO_TFTU000063,DROP,finished,at YARD001.10,0
18,2024-11-14 10:37:10,SC008,TO_CO_TFTU000039,PICK,driving,at YARD001.10,34
19,2024-11-14 10:37:44,SC008,TO_CO_TFTU000039,PICK,arriving,at RAIL001.01,34
20,2024-11-14 10:37:44,SC008,TO_CO_TFTU000039,PICK,working,at RAIL001.01,60
21,2024-11-14 10:38:44,SC008,TO_CO_TFTU000039,PICK,finished,at RAIL001.01,0
22,2024-11-14 10:38:44,SC008,TO_CO_TFTU000039,DROP,driving,at RAIL001.01,88
23,2024-11-14 10:40:12,SC008,TO_CO_TFTU000039,DROP,arriving,at WS003.01,88
24,2024-11-14 10:40:12,SC008,TO_CO_TFTU000039,DROP,working,at WS003.01,60
25,2024-11-14 10:41:12,SC008,TO_CO_TFTU000039,DROP,finished,at WS003.01,0
26,2024-11-14 10:41:12,SC008,TO_CO_TFTU000087,PICK,driving,at WS003.01,43
27,2024-11-14 10:41:55,SC008,TO_CO_TFTU000087,PICK,arriving,at QC005,43
28,2024-11-14 10:42:51,SC008,TO_CO_TFTU000087,PICK,waited,at QC005,56
29,2024-11-14 10:42:51,SC008,TO_CO_TFTU000087,PICK,working,at QC005,60
30,2024-11-14 10:43:51,SC008,TO_CO_TFTU000087,PICK,finished,at QC005,0
31,2024-11-14 10:43:51,SC008,TO_CO_TFTU000087,DROP,driving,at QC005,88
32,2024-11-14 10:45:19,SC008,TO_CO_TFTU000087,DROP,arriving,at WS010.01,88
33,2024-11-14 10:45:19,SC008,TO_CO_TFTU000087,DROP,working,at WS010.01,60
34,2024-11-14 10:46:19,SC008,TO_CO_TFTU000087,DROP,finished,at WS010.01,0
35,2024-11-14 10:46:19,SC008,TO_CO_TFTU000110,PICK,driving,at WS010.01,76
36,2024-11-14 10:47:35,SC008,TO_CO_TFTU000110,PICK,arriving,at RAIL001.109,76
37,2024-11-14 10:47:35,SC008,TO_CO_TFTU000110,PICK,working,at RAIL001.109,60
38,2024-11-14 10:48:35,SC008,TO_CO_TFTU000110,PICK,finished,at RAIL001.109,0
39,2024-11-14 10:48:35,SC008,TO_CO_TFTU000110,DROP,driving,at RAIL001.109,112
40,2024-11-14 10:50:27,SC008,TO_CO_TFTU000110,DROP,arriving,at WS014.01,112
41,2024-11-14 10:50:27,SC008,TO_CO_TFTU000110,DROP,working,at WS014.01,60
42,2024-11-14 10:51:27,SC008,TO_CO_TFTU000110,DROP,finished,at WS014.01,0
43,2024-11-14 10:51:27,SC008,TO_CO_TFTU000112,PICK,driving,at WS014.01,119
44,2024-11-14 10:53:26,SC008,TO_CO_TFTU000112,PICK,arriving,at QC004,119
45,2024-11-14 10:53:26,SC008,TO_CO_TFTU000112,PICK,working,at QC004,60
46,2024-11-14 10:54:26,SC008,TO_CO_TFTU000112,PICK,finished,at QC004,0
47,2024-11-14 10:54:26,SC008,TO_CO_TFTU000112,DROP,driving,at QC004,119
48,2024-11-14 10:56:25,SC008,TO_CO_TFTU000112,DROP,arriving,at WS014.01,119
49,2024-11-14 10:56:25,SC008,TO_CO_TFTU000112,DROP,working,at WS014.01,60
50,2024-11-14 10:57:25,SC008,TO_CO_TFTU000112,DROP,finished,at WS014.01,0
51,2024-11-14 10:57:25,SC008,TO_CO_TFTU000162,PICK,driving,at WS014.01,124
52,2024-11-14 10:59:29,SC008,TO_CO_TFTU000162,PICK,arriving,at QC005,124
53,2024-11-14 10:59:29,SC008,TO_CO_TFTU000162,PICK,working,at QC005,60
54,2024-11-14 11:00:29,SC008,TO_CO_TFTU000162,PICK,finished,at QC005,0
55,2024-11-14 11:00:29,SC008,TO_CO_TFTU000162,DROP,driving,at QC005,106
56,2024-11-14 11:02:15,SC008,TO_CO_TFTU000162,DROP,arriving,at WS012.01,106
57,2024-11-14 11:02:15,SC008,TO_CO_TFTU000162,DROP,working,at WS012.01,60
58,2024-11-14 11:03:15,SC008,TO_CO_TFTU000162,DROP,finished,at WS012.01,0
59,2024-11-14 11:03:15,SC008,TO_CO_TFTU000207,PICK,driving,at WS012.01,151
60,2024-11-14 11:05:46,SC008,TO_CO_TFTU000207,PICK,arriving,at RAIL001.01,151
61,2024-11-14 11:05:46,SC008,TO_CO_TFTU000207,PICK,working,at RAIL001.01,60
62,2024-11-14 11:06:46,SC008,TO_CO_TFTU000207,PICK,finished,at RAIL001.01,0
63,2024-11-14 11:06:46,SC008,TO_CO_TFTU000207,DROP,driving,at RAIL001.01,88
64,2024-11-14 11:08:14,SC008,TO_CO_TFTU000207,DROP,arriving,at WS003.01,88
65,2024-11-14 11:08:14,SC008,TO_CO_TFTU000207,DROP,working,at WS003.01,60
66,2024-11-14 11:09:14,SC008,TO_CO_TFTU000207,DROP,finished,at WS003.01,0
67,2024-11-14 11:09:14,SC008,TO_CO_TFTU000144,PICK,driving,at WS003.01,61
68,2024-11-14 11:10:15,SC008,TO_CO_TFTU000144,PICK,arriving,at QC006,61
69,2024-11-14 11:10:15,SC008,TO_CO_TFTU000144,PICK,working,at QC006,60
70,2024-11-14 11:11:15,SC008,TO_CO_TFTU000144,PICK,finished,at QC006,0
71,2024-11-14 11:11:15,SC008,TO_CO_TFTU000144,DROP,driving,at QC006,142
72,2024-11-14 11:13:37,SC008,TO_CO_TFTU000144,DROP,arriving,at WS014.01,142
73,2024-11-14 11:13:38,SC008,TO_CO_TFTU000144,DROP,working,at WS014.01,61
74,2024-11-14 11:14:40,SC008,TO_CO_TFTU000144,DROP,finished,at WS014.01,0
75,2024-11-14 11:14:40,SC008,TO_CO_TFTU000240,PICK,driving,at WS014.01,124
76,2024-11-14 11:16:44,SC008,TO_CO_TFTU000240,PICK,arriving,at QC005,124
77,2024-11-14 11:17:59,SC008,TO_CO_TFTU000240,PICK,waited,at QC005,76
78,2024-11-14 11:17:59,SC008,TO_CO_TFTU000240,PICK,working,at QC005,60
79,2024-11-14 11:18:59,SC008,TO_CO_TFTU000240,PICK,finished,at QC005,0
80,2024-11-14 11:18:59,SC008,TO_CO_TFTU000240,DROP,driving,at QC005,124
81,2024-11-14 11:21:02,SC008,TO_CO_TFTU000240,DROP,working,at WS014.01,60
82,2024-11-14 11:21:03,SC008,TO_CO_TFTU000240,DROP,arriving,at WS014.01,124
83,2024-11-14 11:22:02,SC008,TO_CO_TFTU000240,DROP,finished,at WS014.01,0
84,2024-11-14 11:22:02,SC008,TO_CO_TFTU000216,PICK,driving,at WS014.01,124
85,2024-11-14 11:24:06,SC008,TO_CO_TFTU000216,PICK,arriving,at QC005,124
86,2024-11-14 11:24:18,SC008,TO_CO_TFTU000216,PICK,waited,at QC005,12
87,2024-11-14 11:24:18,SC008,TO_CO_TFTU000216,PICK,working,at QC005,60
88,2024-11-14 11:25:19,SC008,TO_CO_TFTU000216,PICK,finished,at QC005,0
89,2024-11-14 11:25:19,SC008,TO_CO_TFTU000216,DROP,driving,at QC005,151
90,2024-11-14 11:27:49,SC008,TO_CO_TFTU000216,DROP,working,at WS017.01,60
91,2024-11-14 11:27:50,SC008,TO_CO_TFTU000216,DROP,arriving,at WS017.01,151
92,2024-11-14 11:28:49,SC008,TO_CO_TFTU000216,DROP,finished,at WS017.01,0
93,2024-11-14 11:28:49,SC008,TO_CO_TFTU000279,PICK,driving,at WS017.01,151
94,2024-11-14 11:31:20,SC008,TO_CO_TFTU000279,PICK,arriving,at QC005,151
95,2024-11-14 11:31:56,SC008,TO_CO_TFTU000279,PICK,waited,at QC005,36
96,2024-11-14 11:31:56,SC008,TO_CO_TFTU000279,PICK,working,at QC005,60
97,2024-11-14 11:32:57,SC008,TO_CO_TFTU000279,PICK,finished,at QC005,0
98,2024-11-14 11:32:57,SC008,TO_CO_TFTU000279,DROP,driving,at QC005,106
99,2024-11-14 11:34:42,SC008,TO_CO_TFTU000279,DROP,working,at WS012.01,60
100,2024-11-14 11:34:43,SC008,TO_CO_TFTU000279,DROP,arriving,at WS012.01,106
101,2024-11-14 11:35:42,SC008,TO_CO_TFTU000279,DROP,finished,at WS012.01,0
