SC,TO,Action,Location,timestamp_start,timestamp_end,duration_visit
SC005,TO_CO_TFTU000027,PICK,at QC006,2024-11-14 10:32:27,2024-11-14 10:33:28,0 days 00:01:01
SC017,TO_CO_TFTU000029,PICK,at RAIL001.76,2024-11-14 10:32:37,2024-11-14 10:33:38,0 days 00:01:01
SC011,TO_CO_TFTU000052,PICK,at QC005,2024-11-14 10:32:41,2024-11-14 10:34:01,0 days 00:01:20
SC010,TO_CO_TFTU000026,PICK,at QC006,2024-11-14 10:32:42,2024-11-14 10:33:42,0 days 00:01:00
SC006,TO_CO_TFTU000010,DROP,at WS015.01,2024-11-14 10:32:47,2024-11-14 10:33:47,0 days 00:01:00
SC020,TO_CO_TFTU000034,DROP,at WS002.01,2024-11-14 10:32:58,2024-11-14 10:33:58,0 days 00:01:00
SC012,TO_CO_TFTU000024,DROP,at WS007.01,2024-11-14 10:33:00,2024-11-14 10:34:00,0 days 00:01:00
SC019,TO_CO_TFTU000056,PICK,at QC004,2024-11-14 10:33:01,2024-11-14 10:34:01,0 days 00:01:00
SC014,TO_CO_TFTU000038,DROP,at WS004.01,2024-11-14 10:33:03,2024-11-14 10:34:03,0 days 00:01:00
SC001,TO_CO_TFTU000018,DROP,at WS012.01,2024-11-14 10:33:08,2024-11-14 10:34:08,0 days 00:01:00
SC013,TO_CO_TFTU000046,DROP,at YARD001.36,2024-11-14 10:33:10,2024-11-14 10:34:10,0 days 00:01:00
SC004,TO_CO_TFTU000047,DROP,at WS003.01,2024-11-14 10:33:23,2024-11-14 10:34:23,0 days 00:01:00
SC002,TO_CO_TFTU000023,DROP,at WS015.01,2024-11-14 10:33:33,2024-11-14 10:34:33,0 days 00:01:00
SC003,TO_CO_TFTU000032,DROP,at YARD001.25,2024-11-14 10:33:39,2024-11-14 10:34:39,0 days 00:01:00
SC010,TO_CO_TFTU000026,DROP,at YARD001.54,2024-11-14 10:33:53,2024-11-14 10:34:54,0 days 00:01:01
SC011,TO_CO_TFTU000052,DROP,at YARD001.46,2024-11-14 10:34:16,2024-11-14 10:35:16,0 days 00:01:00
SC015,TO_CO_TFTU000051,DROP,at WS003.01,2024-11-14 10:34:24,2024-11-14 10:35:23,0 days 00:00:59
SC020,TO_CO_TFTU000066,PICK,at QC004,2024-11-14 10:34:27,2024-11-14 10:35:27,0 days 00:01:00
SC019,TO_CO_TFTU000056,DROP,at WS003.01,2024-11-14 10:34:39,2024-11-14 10:35:39,0 days 00:01:00
SC008,TO_CO_TFTU000063,PICK,at QC003,2024-11-14 10:34:40,2024-11-14 10:35:40,0 days 00:01:00
SC016,TO_CO_TFTU000033,PICK,at RAIL001.81,2024-11-14 10:34:42,2024-11-14 10:35:43,0 days 00:01:01
SC013,TO_CO_TFTU000059,PICK,at QC006,2024-11-14 10:34:46,2024-11-14 10:35:47,0 days 00:01:01
SC007,TO_CO_TFTU000071,PICK,at QC005,2024-11-14 10:34:47,2024-11-14 10:35:47,0 days 00:01:00
SC005,TO_CO_TFTU000027,DROP,at WS007.01,2024-11-14 10:34:47,2024-11-14 10:35:47,0 days 00:01:00
SC003,TO_CO_TFTU000045,PICK,at QC003,2024-11-14 10:34:52,2024-11-14 10:35:52,0 days 00:01:00
SC017,TO_CO_TFTU000029,DROP,at WS007.01,2024-11-14 10:34:57,2024-11-14 10:35:57,0 days 00:01:00
SC012,TO_CO_TFTU000074,PICK,at QC005,2024-11-14 10:35:01,2024-11-14 10:36:01,0 days 00:01:00
SC010,TO_CO_TFTU000037,PICK,at QC006,2024-11-14 10:35:05,2024-11-14 10:36:06,0 days 00:01:01
SC004,TO_CO_TFTU000072,PICK,at QC005,2024-11-14 10:35:06,2024-11-14 10:36:48,0 days 00:01:42
SC014,TO_CO_TFTU000053,PICK,at QC006,2024-11-14 10:35:13,2024-11-14 10:36:48,0 days 00:01:35
SC009,TO_CO_TFTU000036,PICK,at QC005,2024-11-14 10:35:30,2024-11-14 10:37:02,0 days 00:01:32
SC011,TO_CO_TFTU000069,PICK,at QC006,2024-11-14 10:35:34,2024-11-14 10:37:07,0 days 00:01:33
SC020,TO_CO_TFTU000066,DROP,at YARD001.31,2024-11-14 10:35:36,2024-11-14 10:36:36,0 days 00:01:00
SC018,TO_CO_TFTU000090,PICK,at QC006,2024-11-14 10:35:50,2024-11-14 10:37:48,0 days 00:01:58
SC001,TO_CO_TFTU000068,PICK,at QC005,2024-11-14 10:35:54,2024-11-14 10:37:48,0 days 00:01:54
SC006,TO_CO_TFTU000082,PICK,at QC005,2024-11-14 10:36:00,2024-11-14 10:38:02,0 days 00:02:02
SC003,TO_CO_TFTU000045,DROP,at YARD001.20,2024-11-14 10:36:03,2024-11-14 10:37:04,0 days 00:01:01
SC013,TO_CO_TFTU000059,DROP,at YARD001.58,2024-11-14 10:36:05,2024-11-14 10:37:06,0 days 00:01:01
SC015,TO_CO_TFTU000067,PICK,at QC005,2024-11-14 10:36:06,2024-11-14 10:38:49,0 days 00:02:43
SC008,TO_CO_TFTU000063,DROP,at YARD001.10,2024-11-14 10:36:09,2024-11-14 10:37:10,0 days 00:01:01
SC007,TO_CO_TFTU000071,DROP,at WS002.01,2024-11-14 10:36:21,2024-11-14 10:37:21,0 days 00:01:00
SC019,TO_CO_TFTU000035,PICK,at QC005,2024-11-14 10:36:22,2024-11-14 10:39:03,0 days 00:02:41
SC012,TO_CO_TFTU000074,DROP,at YARD001.24,2024-11-14 10:36:41,2024-11-14 10:37:41,0 days 00:01:00
SC020,TO_CO_TFTU000031,PICK,at QC004,2024-11-14 10:36:45,2024-11-14 10:37:46,0 days 00:01:01
SC005,TO_CO_TFTU000073,PICK,at QC005,2024-11-14 10:36:48,2024-11-14 10:39:49,0 days 00:03:01
SC002,TO_CO_TFTU000085,PICK,at RAIL001.65,2024-11-14 10:36:56,2024-11-14 10:37:56,0 days 00:01:00
SC017,TO_CO_TFTU000065,PICK,at QC003,2024-11-14 10:37:11,2024-11-14 10:38:11,0 days 00:01:00
SC003,TO_CO_TFTU000064,PICK,at QC003,2024-11-14 10:37:15,2024-11-14 10:38:16,0 days 00:01:01
SC013,TO_CO_TFTU000070,PICK,at QC007,2024-11-14 10:37:21,2024-11-14 10:38:21,0 days 00:01:00
SC016,TO_CO_TFTU000033,DROP,at WS003.01,2024-11-14 10:37:23,2024-11-14 10:38:23,0 days 00:01:00
SC008,TO_CO_TFTU000039,PICK,at RAIL001.01,2024-11-14 10:37:44,2024-11-14 10:38:44,0 days 00:01:00
SC004,TO_CO_TFTU000072,DROP,at YARD001.14,2024-11-14 10:37:46,2024-11-14 10:38:46,0 days 00:01:00
SC014,TO_CO_TFTU000053,DROP,at WS003.01,2024-11-14 10:37:49,2024-11-14 10:38:48,0 days 00:00:59
SC010,TO_CO_TFTU000037,DROP,at WS010.01,2024-11-14 10:37:52,2024-11-14 10:38:52,0 days 00:01:00
SC012,TO_CO_TFTU000086,PICK,at QC003,2024-11-14 10:37:52,2024-11-14 10:39:12,0 days 00:01:20
SC007,TO_CO_TFTU000089,PICK,at QC005,2024-11-14 10:37:55,2024-11-14 10:40:03,0 days 00:02:08
SC018,TO_CO_TFTU000090,DROP,at YARD001.52,2024-11-14 10:37:56,2024-11-14 10:38:56,0 days 00:01:00
SC011,TO_CO_TFTU000069,DROP,at WS002.01,2024-11-14 10:37:59,2024-11-14 10:38:58,0 days 00:00:59
SC006,TO_CO_TFTU000082,DROP,at YARD001.31,2024-11-14 10:38:29,2024-11-14 10:39:30,0 days 00:01:01
SC009,TO_CO_TFTU000036,DROP,at WS010.01,2024-11-14 10:38:30,2024-11-14 10:39:29,0 days 00:00:59
SC004,TO_CO_TFTU000062,PICK,at QC001,2024-11-14 10:38:57,2024-11-14 10:39:57,0 days 00:01:00
SC001,TO_CO_TFTU000068,DROP,at YARD001.05,2024-11-14 10:38:59,2024-11-14 10:39:59,0 days 00:01:00
SC018,TO_CO_TFTU000075,PICK,at QC006,2024-11-14 10:39:04,2024-11-14 10:40:04,0 days 00:01:00
SC003,TO_CO_TFTU000064,DROP,at YARD001.45,2024-11-14 10:39:05,2024-11-14 10:40:06,0 days 00:01:01
SC015,TO_CO_TFTU000067,DROP,at WS001.01,2024-11-14 10:39:14,2024-11-14 10:40:13,0 days 00:00:59
SC013,TO_CO_TFTU000070,DROP,at YARD001.36,2024-11-14 10:39:15,2024-11-14 10:40:16,0 days 00:01:01
